Date,Temperature(Deg C),Specific Conductance(uS/m),Dissolved Oxygen(mg/L),pH(SU),Oxidation-Reduction Potential(mV),Turbidity(NTU),Chlorophyll a (ug/L)
03/19/05,10.18,157,11.14,8.26,306.81,3.24,2.9
03/20/05,10.62,159,11.24,8.31,309.54,2.81,2.7
03/21/05,10.87,157,11.56,8.47,310.45,2.78,3.6
03/22/05,10.97,157,11.48,8.49,312.11,2.89,4.0
03/23/05,10.91,158,11.16,8.32,316.33,2.57,3.9
03/24/05,10.93,156,11.32,8.48,318.83,2.50,5.0
03/25/05,11.39,155,11.85,8.70,315.49,2.83,5.3
03/26/05,11.72,157,11.11,8.34,328.93,1.87,3.1
03/27/05,11.62,156,11.05,8.37,331.01,2.11,4.0
03/28/05,11.57,156,10.95,8.37,335.30,2.76,3.5
03/29/05,11.94,156,11.12,8.46,332.19,2.67,3.4
03/30/05,12.40,155,10.92,8.40,331.93,2.57,3.6
03/31/05,13.67,155,11.10,8.59,326.07,2.20,4.3
04/01/05,13.61,154,10.94,8.55,327.39,2.48,6.2
04/02/05,13.46,161,10.48,8.33,333.88,3.94,3.9
04/03/05,13.84,164,10.58,8.41,333.42,3.02,4.3
04/04/05,14.21,161,10.98,8.55,330.28,3.14,6.2
04/05/05,14.55,157,10.72,8.46,333.47,3.27,5.6
04/06/05,14.86,158,10.29,8.33,338.69,4.49,6.0
04/07/05,15.12,159,9.84,8.14,344.99,3.39,3.1
04/08/05,15.45,159,9.80,8.16,346.06,4.59,3.3
04/09/05,16.14,156,9.80,8.16,344.60,4.55,3.0
04/10/05,16.19,154,9.59,8.03,344.40,5.38,2.9
04/11/05,16.32,148,9.25,7.88,342.95,8.22,3.0
04/12/05,16.56,143,9.09,7.83,342.26,10.23,3.0
04/13/05,16.66,149,9.32,7.88,340.94,9.15,3.1
04/14/05,16.66,151,9.52,7.96,340.95,6.87,3.3
04/15/05,17.09,151,9.68,8.01,341.68,5.25,3.5
04/16/05,18.14,148,11.48,8.59,320.18,4.36,8.7
04/17/05,18.24,147,11.77,8.79,318.07,3.64,10.8
04/18/05,18.34,146,11.96,8.88,316.27,3.94,13.1
04/19/05,18.61,145,11.61,8.78,317.39,3.64,10.9
04/20/05,18.99,145,11.20,8.69,317.89,3.36,9.1
04/21/05,19.93,145,11.91,8.96,307.06,3.20,10.5
04/22/05,19.45,145,10.34,8.42,320.00,2.96,7.0
04/23/05,18.70,145,9.60,8.28,322.64,4.46,6.6
04/24/05,17.87,146,9.40,8.21,322.85,4.39,4.8
04/25/05,17.67,146,9.31,8.17,322.68,4.39,4.3
04/26/05,17.45,146,9.09,8.08,323.35,5.05,3.8
04/27/05,17.22,146,8.91,8.02,325.59,8.38,3.0
04/28/05,16.92,146,8.96,8.02,324.49,9.35,3.2
04/29/05,16.85,146,8.92,8.00,324.36,8.18,3.0
04/30/05,16.72,146,8.90,7.98,325.41,6.49,2.6
05/01/05,16.73,147,9.01,8.00,324.59,5.81,2.8
05/02/05,16.77,147,9.11,8.01,324.82,8.58,3.2
05/03/05,16.92,147,9.47,8.12,320.67,9.14,4.9
05/04/05,17.11,149,9.68,8.15,320.70,7.85,5.4
05/05/05,17.63,152,10.13,8.31,316.50,11.76,7.6
05/06/05,18.01,154,10.12,8.31,315.34,8.46,6.7
05/07/05,18.29,152,11.28,8.72,305.75,45.07,9.7
05/08/05,18.87,149,11.47,8.84,303.01,42.06,10.3
05/09/05,18.98,150,10.84,8.64,306.38,9.55,8.4
05/10/05,19.52,149,11.07,8.77,298.90,8.00,8.6
05/11/05,20.14,148,11.49,8.88,293.74,9.90,9.0
05/12/05,21.37,144,12.29,9.16,281.04,8.34,9.9
05/13/05,21.81,143,11.90,9.13,279.82,28.73,9.6
05/14/05,21.83,141,10.39,8.83,284.79,16.67,8.0
05/15/05,21.64,142,10.01,8.74,283.23,22.90,7.5
05/16/05,21.53,142,10.16,8.69,292.79,6.87,7.3
05/17/05,21.57,141,10.65,8.87,287.02,5.11,8.8
05/18/05,21.85,140,10.83,8.99,282.27,3.02,9.3
05/19/05,21.90,140,10.12,8.75,285.30,2.71,7.5
05/20/05,22.63,139,10.23,8.83,281.83,3.33,9.1
05/21/05,22.53,140,9.81,8.63,284.94,3.48,8.5
05/22/05,22.64,140,9.95,8.65,282.65,4.48,7.7
05/23/05,23.32,138,11.45,9.20,263.39,295.24,13.2
05/24/05,23.30,140,10.68,9.00,269.75,259.91,12.1
05/25/05,23.31,141,10.60,8.94,271.57,316.33,13.0
05/26/05,23.51,141,10.89,9.01,268.22,45.19,12.3
05/27/05,23.96,141,10.71,8.92,266.42,9.71,9.6
05/28/05,23.96,141,10.27,8.75,278.82,11.36,8.0
05/29/05,23.69,142,9.32,8.35,294.04,3.84,7.2
05/30/05,24.18,141,9.32,8.46,288.56,3.76,6.6
05/31/05,24.67,140,9.99,8.74,278.03,3.74,8.7
06/01/05,24.14,139,8.77,8.32,293.97,4.73,7.8
06/02/05,23.67,139,7.54,7.87,307.21,3.67,6.5
06/03/05,23.72,139,7.53,7.83,311.90,3.40,5.2
06/04/05,23.88,140,7.91,7.87,309.84,4.06,5.4
06/05/05,24.46,139,7.91,7.83,309.59,3.71,4.7
06/06/05,25.03,138,8.07,7.89,307.46,3.99,5.4
06/07/05,25.47,138,8.86,8.14,293.68,17.53,7.5
06/08/05,25.94,139,8.87,8.13,292.14,5.49,6.7
06/09/05,26.30,139,8.98,8.27,291.21,3.84,8.2
06/10/05,26.47,138,8.41,7.99,281.79,5.21,6.2
06/11/05,26.31,140,7.41,7.74,292.93,8.67,3.9
06/12/05,25.96,142,7.06,7.67,304.64,11.03,2.6
06/13/05,25.86,143,6.65,7.60,303.61,417.06,6.4
06/14/05,26.27,145,6.69,7.61,301.79,679.61,6.3
06/15/05,26.68,147,7.31,7.78,310.91,457.40,5.7
06/16/05,26.67,149,8.02,7.96,315.24,22.13,6.1
06/17/05,26.74,148,9.01,8.30,304.24,12.76,7.6
06/18/05,26.44,149,8.42,8.07,313.44,6.13,6.0
06/19/05,26.49,151,8.24,8.06,314.39,4.59,5.3
06/20/05,26.69,150,8.39,8.08,310.25,3.91,5.0
06/21/05,27.04,150,8.67,8.17,315.80,2.96,3.9
06/22/05,27.73,149,9.56,8.54,303.86,2.79,4.1
06/23/05,28.60,149,9.81,8.73,294.91,1.94,3.9
06/24/05,29.06,149,10.11,8.85,282.89,2.20,4.2
06/25/05,29.43,149,10.52,9.10,286.45,2.35,4.5
06/26/05,29.34,149,10.24,9.07,285.88,2.86,5.2
06/27/05,28.81,148,8.98,8.67,296.57,3.58,5.7
06/28/05,28.92,147,9.11,8.73,292.44,4.41,7.1
06/29/05,29.40,147,9.56,8.77,290.30,4.44,6.6
06/30/05,30.05,144,10.24,8.87,272.28,3.21,7.0
07/01/05,30.07,143,10.01,8.83,252.21,1.54,6.3
07/02/05,29.49,145,8.40,8.33,259.07,2.15,5.9
07/03/05,29.49,145,8.30,8.19,262.53,2.26,6.7
07/04/05,29.39,146,8.26,8.14,274.15,2.37,7.1
07/05/05,29.46,146,8.16,8.12,287.03,2.68,7.7
07/06/05,29.27,146,7.28,7.72,304.97,2.82,6.4
07/07/05,29.09,147,7.29,7.66,306.88,3.54,6.9
07/08/05,29.40,148,8.26,7.96,296.45,13.84,7.3
07/09/05,29.77,146,8.94,8.21,294.70,5.24,8.3
07/10/05,29.45,147,7.63,7.68,304.26,309.06,7.1
07/11/05,28.72,149,6.68,7.43,308.00,39.18,3.9
07/12/05,28.02,153,6.80,7.45,307.81,34.61,2.2
07/13/05,27.17,149,7.07,7.52,306.46,5.95,2.1
07/14/05,26.98,148,7.42,7.60,306.63,5.26,3.4
07/15/05,27.07,147,8.19,7.79,301.73,4.29,7.2
07/16/05,26.98,147,7.97,7.71,301.41,17.96,6.0
07/17/05,26.97,147,8.03,7.71,303.00,4.20,5.9
07/18/05,27.21,148,8.36,7.80,301.60,4.67,6.2
07/19/05,28.02,149,9.88,8.25,291.26,5.48,9.6
07/20/05,28.66,150,10.71,8.57,287.78,18.37,10.4
07/21/05,29.16,150,10.58,8.54,287.80,8.38,8.0
07/22/05,29.48,151,10.04,8.39,294.99,32.13,8.8
07/23/05,30.26,154,10.40,8.42,291.40,43.32,6.9
07/24/05,30.83,156,10.84,8.64,277.66,3.46,6.5
07/25/05,31.25,156,10.23,8.55,277.48,2.42,7.9
07/26/05,31.07,157,9.93,8.39,282.11,9.43,15.6
07/27/05,30.61,160,8.53,7.94,294.50,7.70,14.1
07/28/05,30.21,161,8.52,7.92,293.04,143.56,14.2
07/29/05,29.74,161,8.56,7.93,297.26,254.46,10.2
07/30/05,29.58,161,8.72,7.96,288.83,7.85,6.2
07/31/05,29.83,161,9.10,8.09,292.56,362.55,7.1
08/01/05,29.96,161,9.08,8.06,294.99,508.73,5.4
08/02/05,30.11,161,8.84,8.02,302.24,447.35,7.9
08/03/05,30.47,159,9.04,8.13,297.95,436.38,6.4
08/04/05,30.76,159,9.71,8.26,290.38,471.38,5.0
08/05/05,30.98,158,9.68,8.47,292.06,1.37,4.1
08/06/05,30.39,158,8.58,8.06,305.34,2.11,5.1
08/07/05,30.07,158,7.57,7.74,309.69,3.13,4.6
08/08/05,30.34,158,9.00,8.21,296.74,1.80,8.2
08/09/05,30.66,157,9.39,8.33,291.93,1.33,5.7
08/10/05,31.01,157,9.50,8.39,293.35,0.63,4.5
08/11/05,30.85,156,8.58,8.11,293.79,0.74,11.5
08/12/05,30.84,156,8.09,7.90,301.00,1.62,9.4
08/13/05,30.82,157,8.14,7.88,302.76,2.31,7.2
08/14/05,30.66,155,7.92,7.80,309.23,2.71,5.1
08/15/05,30.69,153,8.42,7.96,308.26,39.16,6.6
08/16/05,30.39,153,7.72,7.75,308.28,94.70,6.4
08/17/05,30.34,152,7.17,7.60,311.48,1.61,6.3
08/18/05,30.12,151,6.97,7.61,309.63,1.80,6.5
08/19/05,30.51,150,7.72,7.89,305.19,1.04,4.4
08/20/05,30.68,148,7.69,7.81,316.07,2.69,4.4
08/21/05,31.23,145,8.55,8.15,308.88,195.69,5.4
08/22/05,30.82,146,7.34,7.77,326.68,602.20,4.3
08/23/05,30.70,145,7.24,7.69,329.23,658.42,6.5
08/24/05,30.62,145,6.70,7.63,326.14,597.20,4.9
08/25/05,30.37,145,6.93,7.59,329.90,503.17,4.4
08/26/05,29.96,145,6.37,7.48,328.59,543.19,4.4
08/27/05,29.71,145,6.09,7.50,331.75,127.99,2.4
08/28/05,29.61,144,6.21,7.56,334.68,107.37,3.4
08/29/05,29.11,144,5.74,7.45,346.01,326.86,2.1
08/30/05,28.26,142,6.29,7.56,351.95,46.56,2.1
08/31/05,28.29,143,6.74,7.68,345.43,2.74,2.8
09/01/05,28.48,143,8.14,8.19,320.93,2.55,5.8
09/02/05,28.46,143,9.65,8.77,293.72,2.37,13.0
09/03/05,28.10,145,8.12,8.20,320.15,2.21,8.4
09/04/05,27.83,143,7.57,8.04,320.49,2.76,7.1
09/05/05,27.95,143,7.47,8.06,320.53,2.00,6.2
09/06/05,28.10,141,7.85,8.38,306.95,2.04,9.3
09/07/05,27.98,141,7.76,8.11,318.89,2.07,5.3
09/08/05,28.33,141,7.43,7.94,327.90,1.56,3.9
09/09/05,28.37,142,7.50,8.05,322.08,1.39,4.2
09/10/05,28.85,141,,8.29,313.36,1.03,4.8
09/11/05,28.52,141,,8.21,311.47,1.57,4.4
09/12/05,28.37,141,,8.06,311.05,1.74,6.2
09/13/05,28.00,140,,7.71,324.72,3.24,14.2
09/14/05,28.17,139,,7.61,330.32,2.25,9.5
09/15/05,27.80,138,,7.42,336.80,3.69,3.3
09/16/05,27.60,137,,7.39,343.97,4.78,2.5
09/17/05,27.21,138,,7.42,346.13,3.97,2.1
09/18/05,26.87,138,,7.44,342.26,3.84,12.8
09/19/05,26.65,137,,7.45,344.19,4.25,2.2
09/20/05,26.96,137,,7.70,339.63,3.63,4.1
09/21/05,27.53,137,,8.26,318.63,2.59,7.3
09/22/05,27.30,137,,7.99,327.65,2.79,5.4
09/23/05,27.36,138,,7.72,328.98,3.28,3.8
09/24/05,27.24,139,,7.56,333.71,4.52,3.6
09/25/05,26.89,140,,7.53,337.94,5.43,3.0
09/26/05,26.97,141,,7.49,336.14,3.62,2.5
09/27/05,27.05,139,,7.57,342.63,4.25,2.7
09/28/05,26.66,139,,7.58,340.90,5.48,2.6
09/29/05,26.13,140,,7.63,337.07,6.25,2.6
09/30/05,25.64,141,,7.70,334.21,5.08,2.9
10/01/05,25.38,142,,7.70,332.38,4.86,3.1
10/02/05,25.21,141,,7.78,329.91,5.19,3.1
10/03/05,25.64,140,,7.85,327.05,4.29,2.6
10/04/05,25.83,139,,7.90,325.15,3.67,3.0
10/05/05,25.85,138,,7.76,327.38,3.45,2.4
10/06/05,25.38,137,,7.55,330.10,6.74,8.2
10/07/05,24.31,137,,7.58,330.54,8.31,2.5
10/08/05,23.35,139,,7.63,330.43,6.89,4.6
10/09/05,22.53,140,,7.65,329.71,6.38,4.6
10/10/05,21.92,140,,7.65,329.35,6.30,2.0
10/11/05,21.50,142,,7.67,328.11,6.26,2.2
10/12/05,21.58,144,,7.69,326.53,6.10,2.3
10/13/05,21.55,143,,7.72,325.13,4.88,7.8
10/14/05,21.41,145,,7.70,324.93,5.66,3.1
10/15/05,21.30,147,,7.70,325.76,6.49,3.1
10/16/05,21.06,148,,7.66,326.01,6.87,2.7
10/17/05,20.91,148,,7.72,324.82,7.04,2.7
10/18/05,21.24,150,,7.78,323.73,5.70,3.2
10/19/05,21.33,150,,7.84,311.33,4.59,3.2
10/20/05,21.33,153,7.70,7.57,300.18,4.00,2.4
10/21/05,21.06,152,7.53,7.52,301.46,2.97,2.3
10/22/05,20.84,154,7.66,7.54,302.82,2.62,2.0
10/23/05,20.30,155,7.62,7.52,305.71,3.35,1.8
10/24/05,19.18,156,8.01,7.58,308.91,4.94,1.7
10/25/05,17.89,156,8.46,7.64,311.96,4.57,1.8
10/26/05,17.86,159,8.55,7.67,312.41,3.60,1.9
10/27/05,17.58,161,8.44,7.64,313.44,3.74,1.8
10/28/05,17.33,162,8.48,7.63,313.77,4.07,1.9
10/29/05,17.00,161,8.59,7.64,315.16,3.95,1.9
10/30/05,16.52,161,8.76,7.65,317.10,3.71,2.0
10/31/05,16.30,160,8.93,7.67,320.57,3.50,1.9
11/01/05,16.28,161,8.94,7.65,325.06,3.25,1.9
11/02/05,16.11,162,9.22,7.71,324.33,2.64,2.2
11/03/05,15.98,165,9.09,7.68,328.30,2.70,1.8
11/04/05,16.00,166,9.27,7.71,332.29,2.79,1.8
11/05/05,16.18,164,9.50,7.77,333.68,2.69,2.0
11/06/05,16.45,164,9.48,7.77,336.10,2.21,2.0
11/07/05,16.61,163,9.58,7.81,333.66,1.83,2.2
11/08/05,16.64,163,9.56,7.80,334.43,1.65,1.9
11/09/05,16.98,165,9.44,7.78,333.60,2.17,2.0
11/10/05,16.87,170,9.45,7.79,334.81,2.64,1.8
11/11/05,16.50,170,9.39,7.77,333.07,2.43,1.7
11/12/05,16.13,170,9.50,7.78,334.95,2.42,1.8
11/13/05,16.12,168,9.62,7.81,336.80,1.80,2.0
11/14/05,16.04,168,9.55,7.79,337.26,1.88,1.8
11/15/05,16.20,168,9.56,7.79,339.75,2.57,1.7
11/16/05,15.74,168,9.67,7.81,340.49,2.39,1.6
11/17/05,14.84,169,9.87,7.83,341.89,2.09,1.7
11/18/05,14.17,172,9.95,7.81,344.09,1.92,1.7
11/19/05,13.57,173,10.04,7.80,347.30,1.84,1.5
11/20/05,13.20,173,10.19,7.81,350.05,1.58,1.7
11/21/05,12.76,173,10.25,7.81,349.59,1.53,1.6
11/22/05,12.22,175,10.46,7.83,350.80,2.77,1.7
11/23/05,12.08,176,10.43,7.82,353.80,2.07,1.6
11/24/05,11.84,176,10.62,7.84,351.17,2.44,1.6
11/25/05,11.38,174,10.76,7.85,355.61,1.76,1.7
11/26/05,11.04,174,10.82,7.85,356.09,1.46,1.5
11/27/05,10.96,172,11.01,7.86,354.56,1.73,1.6
11/28/05,11.29,171,11.02,7.87,357.55,2.57,1.6
11/29/05,10.94,172,11.08,7.87,360.40,1.52,1.6
11/30/05,10.59,173,11.17,7.88,360.39,1.26,1.7
12/01/05,10.30,175,11.22,7.88,357.07,1.90,1.5
12/02/05,9.91,181,11.34,7.90,360.11,1.84,1.6
12/03/05,9.46,178,11.37,7.89,362.27,1.53,1.6
12/04/05,9.19,178,11.47,7.89,359.38,1.46,1.7
12/05/05,8.89,178,11.54,7.89,359.98,1.24,1.6
12/06/05,8.46,181,11.64,7.88,361.88,1.25,1.6
12/07/05,8.08,183,11.76,7.89,362.88,1.38,1.5
12/08/05,7.80,184,11.81,7.88,363.64,1.29,1.8
12/09/05,7.22,180,12.10,7.89,364.02,1.45,1.8
12/10/05,6.89,182,12.16,7.88,366.00,1.37,1.8
12/11/05,6.68,182,12.31,7.89,364.98,1.09,1.7
12/12/05,6.67,182,12.33,7.89,364.20,1.19,1.9
12/13/05,6.75,182,12.30,7.88,368.74,1.10,1.8
12/14/05,6.44,180,12.61,7.91,363.77,1.66,2.2
12/15/05,6.83,179,12.45,7.89,366.56,1.19,2.3
12/16/05,6.81,180,12.53,7.90,366.80,1.01,2.5
12/17/05,6.96,181,12.47,7.91,366.84,0.92,2.3
12/18/05,7.12,186,12.41,7.91,362.14,1.07,2.0
12/19/05,6.91,188,12.53,7.92,360.81,1.29,2.2
12/20/05,6.65,187,12.58,7.92,367.32,1.17,2.4
12/21/05,6.48,186,12.59,7.92,367.85,1.04,2.6
12/22/05,6.21,186,12.71,7.93,367.36,0.94,2.8
12/23/05,6.12,187,12.94,7.98,360.74,1.25,3.1
12/24/05,6.44,189,12.79,7.94,363.45,1.31,2.7
12/25/05,6.17,188,13.10,8.01,361.68,1.33,4.9
12/26/05,6.20,190,12.95,7.97,363.70,1.23,3.7
12/27/05,6.06,189,13.26,8.05,358.19,1.50,4.8
12/28/05,6.77,189,12.79,7.98,360.58,0.98,3.1
12/29/05,6.61,189,12.88,8.00,361.98,1.02,4.7
12/30/05,6.40,187,13.08,8.05,360.97,1.32,5.5
01/03/06,7.93,190,12.61,8.02,360.42,0.41,4.1
01/04/06,7.86,190,12.81,8.08,352.98,0.88,4.4
01/05/06,7.87,189,12.52,7.99,357.03,0.89,3.8
01/06/06,7.54,187,12.57,8.00,358.50,1.70,3.8
01/07/06,7.32,188,12.63,8.00,365.30,1.81,3.2
01/08/06,7.38,189,12.62,8.00,360.84,1.49,2.7
01/09/06,7.60,190,12.41,7.95,365.25,1.19,2.7
01/12/06,8.32,197,12.57,8.16,305.39,1.86,5.4
01/13/06,8.33,195,12.11,8.03,320.17,1.62,5.8
01/14/06,7.78,193,12.40,8.10,327.02,3.46,7.8
01/15/06,7.56,189,12.31,8.04,335.01,2.32,5.5
01/16/06,7.69,189,12.14,7.99,335.96,1.60,3.9
01/17/06,7.82,190,12.10,7.98,335.58,2.25,4.5
01/18/06,7.34,191,12.31,8.03,338.32,2.47,5.5
01/19/06,7.69,191,12.38,8.01,322.99,2.47,4.2
01/20/06,8.41,188,12.23,7.97,329.52,3.63,3.9
01/21/06,8.86,188,11.88,7.87,345.31,6.18,3.0
01/22/06,8.98,185,11.70,7.83,364.51,8.16,3.6
01/23/06,8.97,181,11.67,7.81,369.77,10.69,4.4
01/24/06,8.88,178,11.77,7.82,378.79,11.32,4.4
01/25/06,8.89,176,11.85,7.75,386.26,18.55,4.2
01/26/06,8.92,170,11.73,7.68,399.85,19.02,3.9
01/27/06,8.77,163,11.74,7.61,401.35,24.37,4.1
01/28/06,8.91,161,11.78,7.60,400.56,22.43,4.1
01/29/06,9.50,158,11.85,7.66,398.45,19.48,4.9
01/30/06,9.75,155,11.78,7.62,400.76,16.41,4.5
01/31/06,9.72,151,11.94,7.69,397.48,10.97,6.0
02/01/06,9.60,148,11.92,7.67,392.90,9.11,6.0
02/02/06,9.69,144,11.77,7.65,397.36,8.47,6.6
02/03/06,9.77,146,11.47,7.58,403.09,7.99,4.9
02/04/06,9.42,148,11.53,7.63,389.26,10.42,5.5
02/05/06,8.98,149,11.38,7.60,392.02,7.60,3.8
02/06/06,8.92,149,11.36,7.61,385.17,6.99,3.8
02/07/06,8.61,149,11.44,7.62,380.93,7.21,3.6
02/08/06,8.48,151,11.42,7.61,387.07,7.37,3.3
02/09/06,8.23,157,11.62,7.64,380.26,7.73,3.1
02/10/06,7.82,159,11.75,7.67,383.59,6.81,3.3
02/11/06,7.67,162,11.71,7.66,382.05,6.95,3.2
02/12/06,7.15,159,12.03,7.69,379.61,7.09,3.4
02/13/06,6.68,158,12.40,7.75,373.74,6.32,4.1
02/14/06,6.61,158,12.69,7.81,361.88,6.05,4.7
02/15/06,6.88,158,12.96,7.88,349.08,6.20,5.1
02/16/06,7.68,162,12.54,7.81,356.28,5.87,3.7
02/17/06,7.84,159,12.78,7.89,361.36,9.03,6.7
02/18/06,7.56,161,12.65,7.83,364.50,6.14,4.9
02/19/06,6.84,160,12.83,7.86,369.21,5.38,4.4
02/20/06,6.46,160,12.93,7.87,376.79,5.15,4.8
02/21/06,6.64,161,13.04,7.91,371.21,4.74,4.7
02/22/06,6.79,165,12.91,7.87,370.60,4.56,4.7
02/23/06,6.87,165,13.02,7.90,365.07,4.28,4.7
02/24/06,7.21,164,13.47,8.05,341.11,4.18,6.0
02/25/06,7.42,165,13.38,8.02,336.42,4.10,6.4
02/26/06,7.52,165,12.92,7.88,354.38,3.52,4.0
02/27/06,7.37,164,13.43,8.06,334.92,3.99,7.4
02/28/06,7.95,163,13.46,8.13,328.02,3.93,6.3
03/01/06,8.63,162,13.54,8.23,310.25,3.91,7.4
03/02/06,9.22,168,13.06,8.09,318.27,4.08,6.3
03/03/06,9.48,173,12.78,8.03,329.84,3.41,5.3
03/04/06,9.61,172,12.93,8.11,331.79,3.32,5.9
03/05/06,9.65,171,12.93,8.11,341.53,3.05,5.6
03/06/06,9.77,169,13.04,8.19,314.69,3.38,6.1
03/07/06,10.30,167,12.90,8.19,322.46,3.07,4.9
03/08/06,10.09,166,12.80,8.24,315.09,3.70,6.3
03/09/06,10.69,169,11.96,8.01,345.00,4.21,5.0
03/10/06,11.19,169,11.93,8.03,354.82,3.00,4.2
03/11/06,11.78,166,11.84,8.13,349.21,3.25,5.5
03/12/06,12.48,170,11.54,7.96,351.20,2.91,4.0
03/13/06,12.81,170,11.43,7.97,352.65,4.16,4.7
03/14/06,12.99,168,11.34,7.98,349.15,3.33,4.3
03/15/06,13.21,165,11.39,7.99,364.19,2.67,4.1
03/16/06,13.41,169,11.36,8.00,350.39,3.00,4.6
03/17/06,13.33,164,11.04,7.91,359.86,3.54,4.0
03/18/06,13.22,164,11.07,7.90,370.20,2.37,3.4
03/19/06,12.67,165,11.09,7.89,378.57,2.23,3.5
03/20/06,12.19,166,11.02,7.86,385.94,2.13,3.4
03/21/06,11.58,167,11.14,7.87,383.89,3.20,3.4
03/22/06,11.27,166,11.32,7.89,386.61,2.86,3.1
03/23/06,10.94,167,11.37,7.85,387.71,3.00,2.9
03/24/06,10.64,170,11.44,7.85,381.40,3.32,2.8
03/25/06,10.39,171,11.63,7.86,378.23,3.15,2.8
03/26/06,10.69,172,11.72,7.88,382.93,2.49,2.8
03/27/06,10.71,172,11.92,7.95,364.48,2.62,3.0
03/28/06,10.86,171,11.83,7.91,370.71,2.28,3.1
03/29/06,11.44,171,11.76,7.93,336.90,2.86,3.3
03/30/06,11.98,170,12.09,8.11,297.81,2.28,4.6
03/31/06,12.40,170,12.12,8.11,300.90,2.24,5.4
04/01/06,13.58,168,13.02,8.45,273.68,1.99,8.0
04/02/06,13.54,166,12.56,8.32,280.36,1.97,6.6
04/03/06,13.24,166,12.34,8.35,282.70,2.64,8.7
04/04/06,13.76,163,13.02,8.61,267.35,2.19,10.3
04/05/06,14.45,162,13.71,8.75,252.81,1.79,10.0
04/06/06,14.25,162,13.66,8.84,251.80,2.26,12.9
04/07/06,14.48,162,12.80,8.74,258.90,2.59,12.8
04/08/06,14.66,160,12.25,8.70,263.28,2.30,12.1
04/09/06,15.01,158,11.96,8.57,269.98,1.54,7.8
04/10/06,15.23,159,12.70,8.78,256.03,1.85,7.8
04/11/06,15.34,160,11.27,8.25,292.79,3.18,6.7
04/12/06,15.95,166,10.62,8.10,319.61,3.28,6.5
04/13/06,16.79,175,10.50,8.11,325.32,2.86,6.5
04/14/06,17.34,183,,7.85,348.39,2.77,4.9
04/15/06,17.79,181,,7.80,351.55,2.97,5.0
04/16/06,17.80,177,,7.82,363.46,2.81,5.7
04/17/06,18.69,174,,8.00,343.91,2.68,6.7
04/18/06,19.56,171,,8.20,340.64,2.55,7.7
04/19/06,20.36,172,,8.40,326.24,2.63,10.6
04/20/06,20.93,170,,8.51,327.08,2.19,12.8
04/21/06,20.66,169,,8.41,326.94,2.50,12.0
04/22/06,20.42,168,,7.95,378.98,3.02,6.6
04/23/06,20.71,168,,7.90,388.28,2.55,6.1
04/24/06,20.82,168,,7.76,391.16,3.12,5.2
04/25/06,20.90,169,,7.62,414.60,3.48,4.0
04/26/06,20.79,170,,7.57,395.30,4.33,2.9
04/27/06,20.64,171,,7.54,385.66,3.99,2.8
04/28/06,20.79,170,,7.63,381.50,3.92,3.7
04/29/06,20.38,169,,7.60,387.00,6.10,3.6
04/30/06,19.68,169,,7.65,384.42,7.55,3.1
05/01/06,19.28,168,,7.73,389.36,6.15,3.6
05/02/06,19.71,168,,7.72,387.11,4.64,3.3
05/03/06,20.03,168,,7.80,392.07,4.27,4.4
05/04/06,20.16,167,,7.91,389.82,4.15,7.1
