Date,Time,DateTime,days,Chlorophyll_RFU,Depth_m,fDOM_QSU,fDOM_RFU,ODO_PerSat,ODO_PerLocSat,ODO_mg_L,SpCond_uS_cm,TAL_PC_RFU,pH,Light_lux,Turbidity_FNU,Temp_C
3/27/2023,18:40:00,3/27/2023 18:40,0.1,0.49,0.408,22.26,7.42,107.5,109.8,10.07,121.1,0.29,7.59,829.12,2.47,18.506
3/27/2023,18:45:00,3/27/2023 18:45,0.11,0.47,0.408,22.32,7.44,107.6,109.9,10.09,121.2,0.39,7.59,705.92,2.19,18.438
3/27/2023,18:50:00,3/27/2023 18:50,0.11,0.42,0.409,22.44,7.49,106.6,108.8,10.02,121,0.31,7.58,547.52,1.92,18.323
3/27/2023,18:55:00,3/27/2023 18:55,0.11,0.43,0.41,22.29,7.44,106.6,108.9,10.02,120.8,0.31,7.58,426.56,2.19,18.343
3/27/2023,19:00:00,3/27/2023 19:00,0.12,0.9,0.41,22.34,7.45,106.9,109.1,10.06,120.6,0.45,7.59,291.76,2.31,18.279
3/27/2023,19:05:00,3/27/2023 19:05,0.12,0.46,0.411,22.37,7.46,105.2,107.5,9.92,120.4,0.33,7.56,177.28,2.01,18.186
3/27/2023,19:10:00,3/27/2023 19:10,0.13,0.45,0.412,22.57,7.53,106.8,109.1,10.07,120.3,0.31,7.59,96.64,2.56,18.214
3/27/2023,19:15:00,3/27/2023 19:15,0.13,0.43,0.412,22.69,7.57,106.2,108.4,10.03,120.2,0.34,7.58,42.2,2.2,18.073
3/27/2023,19:20:00,3/27/2023 19:20,0.13,0.45,0.413,22.72,7.58,106.1,108.3,10.02,120.1,0.35,7.59,14.99,2.4,18.102
3/27/2023,19:25:00,3/27/2023 19:25,0.14,,0.413,22.78,7.6,108.6,110.9,10.25,119.9,,7.63,4.44,2.1,18.133
3/27/2023,19:30:00,3/27/2023 19:30,0.14,0.44,0.415,22.87,7.63,108.8,111.1,10.29,119.6,0.37,7.65,1.01,2.29,18.054
3/27/2023,19:35:00,3/27/2023 19:35,0.14,0.44,0.416,23,7.67,109.1,111.4,10.34,119.7,0.36,7.65,0,2.61,17.918
3/27/2023,19:40:00,3/27/2023 19:40,0.15,0.44,0.417,23.07,7.7,106.1,108.3,10.07,119.7,0.34,7.6,0,2.13,17.84
3/27/2023,19:45:00,3/27/2023 19:45,0.15,0.41,0.417,23.04,7.68,106,108.3,10.07,119.6,0.32,7.6,0,2.2,17.833
3/27/2023,19:50:00,3/27/2023 19:50,0.15,0.43,0.417,23.26,7.76,104.7,106.9,9.96,119.6,0.33,7.57,0,2.06,17.759
3/27/2023,19:55:00,3/27/2023 19:55,0.16,0.43,0.418,23.19,7.74,103.9,106.1,9.88,119.5,0.39,7.56,0,2.23,17.789
3/27/2023,20:00:00,3/27/2023 20:00,0.16,0.45,0.419,23.19,7.74,104.4,106.6,9.95,119.5,0.37,7.55,0,2.03,17.656
3/27/2023,20:05:00,3/27/2023 20:05,0.16,0.48,0.42,23.12,7.71,105.8,108.1,10.08,119.3,0.39,7.58,0,2.56,17.709
3/27/2023,20:10:00,3/27/2023 20:10,0.17,0.43,0.42,23.12,7.71,104,106.1,9.9,119.2,0.37,7.56,0,2.21,17.685
3/27/2023,20:15:00,3/27/2023 20:15,0.17,0.46,0.421,23.2,7.74,105.5,107.7,10.04,119.2,0.35,7.59,0,2.15,17.759
3/27/2023,20:20:00,3/27/2023 20:20,0.17,0.42,0.422,23.21,7.74,105.9,108.2,10.08,119.2,0.37,7.6,0,2.24,17.751
3/27/2023,20:25:00,3/27/2023 20:25,0.18,0.44,0.422,23.26,7.76,107.5,109.8,10.24,119.1,0.36,7.65,0,2.02,17.724
3/27/2023,20:30:00,3/27/2023 20:30,0.18,0.42,0.423,23.29,7.77,108.4,110.7,10.31,118.9,0.33,7.67,0,2.11,17.743
3/27/2023,20:35:00,3/27/2023 20:35,0.18,0.44,0.423,23.28,7.77,107.7,110,10.26,119,0.34,7.66,0,2.19,17.688
3/27/2023,20:40:00,3/27/2023 20:40,0.19,0.4,0.424,23.31,7.78,107.5,109.8,10.24,118.8,0.33,7.66,0,2.25,17.676
3/27/2023,20:45:00,3/27/2023 20:45,0.19,0.43,0.424,23.31,7.78,108,110.2,10.28,119,0.32,7.66,0,2.2,17.696
3/27/2023,20:50:00,3/27/2023 20:50,0.19,0.39,0.425,23.26,7.76,108.3,110.6,10.31,119,0.33,7.67,0,2.07,17.73
3/27/2023,20:55:00,3/27/2023 20:55,0.2,0.44,0.425,23.36,7.79,107.9,110.2,10.3,118.9,0.35,7.68,0,2.15,17.6
3/27/2023,21:00:00,3/27/2023 21:00,0.2,0.43,0.427,23.44,7.82,106.4,108.7,10.17,119,0.35,7.65,0,2.2,17.546
3/27/2023,21:05:00,3/27/2023 21:05,0.2,0.42,0.428,23.28,7.76,104.9,107.1,10.06,119.2,0.36,7.61,0,2.18,17.364
3/27/2023,21:10:00,3/27/2023 21:10,0.21,0.46,0.431,23.39,7.8,103.8,106,9.94,119.1,1.41,7.58,0,2.25,17.404
3/27/2023,21:15:00,3/27/2023 21:15,0.21,0.48,0.432,23.32,7.78,102.4,104.5,9.83,119.3,0.44,7.54,0,2.58,17.279
3/27/2023,21:20:00,3/27/2023 21:20,0.22,0.48,0.433,23.22,7.74,101.1,103.2,9.72,119.3,0.38,7.51,0,2.98,17.228
3/27/2023,21:25:00,3/27/2023 21:25,0.22,0.57,0.435,23.25,7.76,101.7,103.8,9.78,119,0.42,7.51,0,3.76,17.197
3/27/2023,21:30:00,3/27/2023 21:30,0.22,0.5,0.435,23.4,7.81,99.9,102,9.62,118.9,0.46,7.48,0,3.3,17.182
3/27/2023,21:35:00,3/27/2023 21:35,0.23,0.51,0.436,23.36,7.79,99.5,101.6,9.6,119,0.4,7.46,0,3.11,17.092
3/27/2023,21:40:00,3/27/2023 21:40,0.23,0.47,0.436,23.41,7.81,98.5,100.6,9.52,118.9,0.4,7.44,0,3.23,16.981
3/27/2023,21:45:00,3/27/2023 21:45,0.23,0.48,0.437,23.59,7.87,98,100,9.47,118.7,0.4,7.45,0,2.96,16.974
3/27/2023,21:50:00,3/27/2023 21:50,0.24,0.5,0.439,23.6,7.87,98.2,100.3,9.52,118.8,0.4,7.44,0,3.07,16.847
3/27/2023,21:55:00,3/27/2023 21:55,0.24,0.47,0.439,23.64,7.89,98.5,100.6,9.52,118.6,0.4,7.45,0,2.46,16.96
3/27/2023,22:00:00,3/27/2023 22:00,0.24,0.46,0.44,23.7,7.91,98.7,100.8,9.56,118.6,0.4,7.45,0,2.57,16.923
3/27/2023,22:05:00,3/27/2023 22:05,0.25,0.48,0.44,23.82,7.95,99.1,101.2,9.59,118.4,0.42,7.47,0,2.5,16.907
3/27/2023,22:10:00,3/27/2023 22:10,0.25,0.47,0.439,23.96,7.99,98.1,100.2,9.51,118.3,0.42,7.46,0,2.57,16.816
3/27/2023,22:15:00,3/27/2023 22:15,0.25,0.44,0.44,23.96,7.99,98.2,100.3,9.53,118.2,0.42,7.46,0,2.49,16.8
3/27/2023,22:20:00,3/27/2023 22:20,0.26,0.46,0.44,23.99,8,98.4,100.5,9.56,118.5,0.46,7.46,0,2.66,16.752
3/27/2023,22:25:00,3/27/2023 22:25,0.26,0.46,0.442,23.98,8,98.1,100.2,9.54,118.2,0.4,7.46,0,2.63,16.714
3/27/2023,22:30:00,3/27/2023 22:30,0.26,0.49,0.441,24.05,8.02,98.5,100.6,9.57,118.1,0.43,7.47,0,2.58,16.737
3/27/2023,22:35:00,3/27/2023 22:35,0.27,0.45,0.441,24.1,8.04,99.5,101.6,9.67,118,0.43,7.5,0,3.36,16.75
3/27/2023,22:40:00,3/27/2023 22:40,0.27,0.46,0.441,24.1,8.04,99.8,101.9,9.68,118.2,0.43,7.5,0,2.47,16.821
3/27/2023,22:45:00,3/27/2023 22:45,0.27,0.44,0.442,24.12,8.05,100,102.1,9.73,118.4,0.44,7.5,0,2.4,16.677
3/27/2023,22:50:00,3/27/2023 22:50,0.28,0.45,0.441,24.2,8.07,98.1,100.1,9.57,118.1,0.44,7.48,0,2.43,16.543
3/27/2023,22:55:00,3/27/2023 22:55,0.28,0.46,0.44,24.17,8.06,98.4,100.5,9.6,118.2,0.47,7.48,0,2.53,16.568
3/27/2023,23:00:00,3/27/2023 23:00,0.28,0.49,0.441,24.12,8.05,98.7,100.8,9.63,118,0.46,7.48,0,2.59,16.553
3/27/2023,23:05:00,3/27/2023 23:05,0.29,0.52,0.443,24.18,8.07,99.4,101.5,9.68,118.1,0.44,7.5,0,2.47,16.598
3/27/2023,23:10:00,3/27/2023 23:10,0.29,0.47,0.441,24.2,8.07,99.6,101.7,9.71,118.1,0.45,7.51,0,2.49,16.551
3/27/2023,23:15:00,3/27/2023 23:15,0.3,0.48,0.441,24.3,8.11,99.4,101.5,9.72,118.1,0.47,7.51,0,2.33,16.438
3/27/2023,23:20:00,3/27/2023 23:20,0.3,0.46,0.44,24.29,8.1,99.5,101.6,9.74,118.1,0.42,7.51,0,2.51,16.411
3/27/2023,23:25:00,3/27/2023 23:25,0.3,0.46,0.44,24.25,8.09,99.8,101.9,9.74,118.2,0.43,7.51,0,2.47,16.5
3/27/2023,23:30:00,3/27/2023 23:30,0.31,0.45,0.439,24.3,8.1,100,102.1,9.79,118.4,0.41,7.52,0,2.41,16.389
3/27/2023,23:35:00,3/27/2023 23:35,0.31,0.47,0.439,24.4,8.14,99.3,101.4,9.72,118.1,0.45,7.51,0,2.4,16.34
3/27/2023,23:40:00,3/27/2023 23:40,0.31,0.46,0.439,24.39,8.14,99.8,101.9,9.78,118.3,0.44,7.52,0,2.46,16.323
3/27/2023,23:45:00,3/27/2023 23:45,0.32,0.44,0.439,24.47,8.16,100.1,102.2,9.82,118.2,0.43,7.53,0,2.49,16.286
3/27/2023,23:50:00,3/27/2023 23:50,0.32,0.48,0.439,24.38,8.13,100.1,102.2,9.82,118.3,0.45,7.53,0,3.75,16.26
3/27/2023,23:55:00,3/27/2023 23:55,0.32,0.44,0.439,24.47,8.16,99.8,101.9,9.81,118.3,0.43,7.53,0,2.55,16.198
3/28/2023,0:00:00,3/28/2023 0:00,0.33,0.46,0.439,24.55,8.19,100,102.1,9.83,118.4,0.45,7.53,0,2.54,16.176
3/28/2023,0:05:00,3/28/2023 0:05,0.33,0.5,0.439,24.52,8.18,99.7,101.8,9.79,118.4,0.47,7.53,0,2.61,16.228
3/28/2023,0:10:00,3/28/2023 0:10,0.33,0.52,0.439,24.56,8.19,99.9,102,9.84,118.4,0.46,7.53,0,2.59,16.109
3/28/2023,0:15:00,3/28/2023 0:15,0.34,0.44,0.438,24.56,8.19,100,102.1,9.86,118.6,0.46,7.53,0,2.4,16.066
3/28/2023,0:20:00,3/28/2023 0:20,0.34,0.43,0.439,24.55,8.19,100.2,102.4,9.88,118.7,0.49,7.53,0,2.38,16.075
3/28/2023,0:25:00,3/28/2023 0:25,0.34,0.46,0.439,24.54,8.19,99.9,102.1,9.85,118.8,0.46,7.53,0,2.37,16.048
3/28/2023,0:30:00,3/28/2023 0:30,0.35,0.45,0.44,24.6,8.2,100.2,102.3,9.88,118.7,0.49,7.54,0,2.35,16.031
3/28/2023,0:35:00,3/28/2023 0:35,0.35,0.48,0.438,24.62,8.21,100.1,102.2,9.88,118.8,0.47,7.53,0,2.43,15.982
3/28/2023,0:40:00,3/28/2023 0:40,0.35,0.46,0.438,24.61,8.21,100.2,102.4,9.89,118.8,0.47,7.53,0,2.33,16.009
3/28/2023,0:45:00,3/28/2023 0:45,0.36,0.46,0.439,24.58,8.2,100.3,102.4,9.9,118.9,0.45,7.53,0,2.5,16.007
3/28/2023,0:50:00,3/28/2023 0:50,0.36,0.46,0.441,24.58,8.2,99.6,101.7,9.83,119,0.5,7.52,0,2.41,15.967
3/28/2023,0:55:00,3/28/2023 0:55,0.36,0.43,0.442,24.63,8.22,100.4,102.5,9.92,119,0.47,7.53,0,2.35,15.937
3/28/2023,1:00:00,3/28/2023 1:00,0.37,0.43,0.442,24.66,8.23,99.5,101.6,9.85,119,0.46,7.52,0,2.47,15.861
3/28/2023,1:05:00,3/28/2023 1:05,0.37,0.47,0.443,24.54,8.19,99.9,102,9.88,119.1,0.46,7.53,0,2.39,15.917
3/28/2023,1:10:00,3/28/2023 1:10,0.38,0.41,0.444,24.63,8.21,99.4,101.5,9.85,119.3,0.48,7.52,0,2.35,15.818
3/28/2023,1:15:00,3/28/2023 1:15,0.38,0.43,0.444,24.62,8.21,99.2,101.3,9.83,119.2,0.48,7.52,0,2.39,15.819
3/28/2023,1:20:00,3/28/2023 1:20,0.38,0.45,0.442,24.6,8.21,99.6,101.7,9.87,119.4,0.46,7.52,0,2.35,15.816
3/28/2023,1:25:00,3/28/2023 1:25,0.39,0.44,0.441,24.68,8.23,99.2,101.3,9.84,119.2,0.49,7.52,0,2.29,15.765
3/28/2023,1:30:00,3/28/2023 1:30,0.39,0.43,0.441,24.66,8.22,99.4,101.5,9.86,119.2,0.48,7.52,0,2.4,15.766
3/28/2023,1:35:00,3/28/2023 1:35,0.39,0.43,0.44,24.61,8.21,99.4,101.5,9.87,119.3,0.48,7.53,0,2.23,15.746
3/28/2023,1:40:00,3/28/2023 1:40,0.4,0.46,0.441,24.66,8.23,99.1,101.2,9.83,119.4,0.47,7.52,0,2.47,15.757
3/28/2023,1:45:00,3/28/2023 1:45,0.4,0.46,0.441,24.61,8.21,99.2,101.3,9.85,119.4,0.48,7.52,0,2.22,15.736
3/28/2023,1:50:00,3/28/2023 1:50,0.4,0.42,0.44,24.6,8.21,99,101.1,9.83,119.6,0.48,7.52,0,2.31,15.707
3/28/2023,1:55:00,3/28/2023 1:55,0.41,0.49,0.44,24.61,8.21,98.6,100.7,9.79,119.7,0.5,7.51,0,2.23,15.681
3/28/2023,2:00:00,3/28/2023 2:00,0.41,0.44,0.441,24.58,8.2,98.5,100.5,9.77,119.8,0.49,7.51,0,2.27,15.736
3/28/2023,2:05:00,3/28/2023 2:05,0.41,0.47,0.44,24.6,8.21,98.6,100.7,9.78,119.8,0.47,7.51,0,2.45,15.732
3/28/2023,2:10:00,3/28/2023 2:10,0.42,0.48,0.438,24.56,8.19,98.2,100.2,9.75,120,0.5,7.5,0,2.14,15.69
3/28/2023,2:15:00,3/28/2023 2:15,0.42,0.44,0.437,24.57,8.19,98.2,100.3,9.77,120,0.49,7.51,0,2.3,15.645
3/28/2023,2:20:00,3/28/2023 2:20,0.42,0.41,0.438,24.66,8.23,98.1,100.2,9.76,119.9,0.46,7.5,0,2.24,15.619
3/28/2023,2:25:00,3/28/2023 2:25,0.43,0.52,0.438,24.63,8.21,98,100.1,9.76,120,0.49,7.5,0,2.39,15.562
3/28/2023,2:30:00,3/28/2023 2:30,0.43,0.43,0.438,24.61,8.21,98,100.1,9.76,120,0.5,7.5,0,2.28,15.567
3/28/2023,2:35:00,3/28/2023 2:35,0.43,0.44,0.439,24.65,8.22,97.8,99.8,9.74,119.9,0.5,7.5,0,2.31,15.564
3/28/2023,2:40:00,3/28/2023 2:40,0.44,0.4,0.439,24.65,8.22,97.8,99.9,9.74,120.1,0.46,7.5,0,2.4,15.565
3/28/2023,2:45:00,3/28/2023 2:45,0.44,0.45,0.438,24.65,8.22,97.6,99.7,9.72,120.1,0.47,7.49,0,2.38,15.565
3/28/2023,2:50:00,3/28/2023 2:50,0.44,0.48,0.435,24.7,8.24,97.5,99.5,9.73,119.9,0.47,7.49,0,2.27,15.471
3/28/2023,2:55:00,3/28/2023 2:55,0.45,0.46,0.435,24.72,8.25,97.3,99.4,9.72,120,0.49,7.49,0,2.46,15.448
3/28/2023,3:00:00,3/28/2023 3:00,0.45,0.5,0.434,24.75,8.26,97.3,99.4,9.73,119.9,0.5,7.49,0,2.15,15.386
3/28/2023,3:05:00,3/28/2023 3:05,0.45,0.48,0.433,24.71,8.24,97.2,99.3,9.73,120,0.5,7.5,0,2.2,15.348
3/28/2023,3:10:00,3/28/2023 3:10,0.46,0.45,0.432,24.79,8.27,97,99.1,9.72,120,0.52,7.49,0,2.33,15.312
3/28/2023,3:15:00,3/28/2023 3:15,0.46,0.44,0.433,24.82,8.28,97,99,9.71,120,0.51,7.49,0,2.29,15.325
3/28/2023,3:20:00,3/28/2023 3:20,0.47,0.48,0.433,24.82,8.28,96.9,98.9,9.71,120.1,0.52,7.49,0,2.18,15.258
3/28/2023,3:25:00,3/28/2023 3:25,0.47,0.44,0.434,24.83,8.28,96.8,98.8,9.7,120,0.5,7.49,0,2.24,15.257
3/28/2023,3:30:00,3/28/2023 3:30,0.47,0.48,0.434,24.8,8.27,96.3,98.3,9.66,120.1,0.51,7.48,0,2.16,15.241
3/28/2023,3:35:00,3/28/2023 3:35,0.48,0.4,0.433,24.86,8.29,96.6,98.6,9.68,120.1,0.49,7.48,0,2.17,15.262
3/28/2023,3:40:00,3/28/2023 3:40,0.48,0.42,0.434,24.85,8.29,96.8,98.8,9.7,120.1,0.48,7.48,0,2.4,15.297
3/28/2023,3:45:00,3/28/2023 3:45,0.48,0.5,0.434,24.86,8.29,96.6,98.6,9.68,120.1,0.53,7.48,0,2.56,15.271
3/28/2023,3:50:00,3/28/2023 3:50,0.49,0.43,0.432,24.82,8.28,96.4,98.4,9.67,120.1,0.5,7.48,0,2.24,15.243
3/28/2023,3:55:00,3/28/2023 3:55,0.49,0.44,0.433,24.91,8.31,96.4,98.4,9.67,120.1,0.51,7.48,0,2.3,15.194
3/28/2023,4:00:00,3/28/2023 4:00,0.49,0.49,0.436,24.96,8.32,96.1,98.1,9.67,120,0.49,7.48,0,2.58,15.084
3/28/2023,4:05:00,3/28/2023 4:05,0.5,0.5,0.435,24.9,8.31,94.2,96.2,9.49,120.3,0.52,7.44,0,2.45,15.068
3/28/2023,4:10:00,3/28/2023 4:10,0.5,0.45,0.435,24.91,8.31,94.3,96.3,9.5,120.2,0.55,7.45,0,2.65,15.051
3/28/2023,4:15:00,3/28/2023 4:15,0.5,0.56,0.433,24.96,8.32,94.7,96.7,9.56,120.2,0.53,7.46,0,2.23,14.975
3/28/2023,4:20:00,3/28/2023 4:20,0.51,0.46,0.429,24.99,8.34,95.4,97.4,9.62,120.4,0.53,7.47,0,2.31,14.983
3/28/2023,4:25:00,3/28/2023 4:25,0.51,0.43,0.429,25.04,8.35,95,97,9.59,120.5,0.54,7.46,0,2.07,14.939
3/28/2023,4:30:00,3/28/2023 4:30,0.51,0.41,0.429,25.06,8.36,94.7,96.7,9.56,120.6,0.5,7.45,0,2.55,14.945
3/28/2023,4:35:00,3/28/2023 4:35,0.52,0.58,0.43,25.09,8.37,95.1,97.1,9.59,120.4,0.56,7.46,0,2.63,14.961
3/28/2023,4:40:00,3/28/2023 4:40,0.52,0.42,0.43,25.15,8.39,95.3,97.3,9.62,120.3,0.54,7.46,0,2.09,14.902
3/28/2023,4:45:00,3/28/2023 4:45,0.52,0.5,0.428,25.24,8.42,96.1,98.2,9.7,120,0.52,7.48,0,2.27,14.973
3/28/2023,4:50:00,3/28/2023 4:50,0.53,0.41,0.428,25.34,8.45,96.3,98.3,9.73,119.8,0.52,7.49,0,2.28,14.877
3/28/2023,4:55:00,3/28/2023 4:55,0.53,0.44,0.428,25.26,8.43,96.3,98.3,9.73,120.1,0.5,7.49,0,2.31,14.89
3/28/2023,5:00:00,3/28/2023 5:00,0.53,0.46,0.427,24.78,8.26,95.6,97.6,9.66,120.1,0.54,7.47,0,2.43,14.862
3/28/2023,5:05:00,3/28/2023 5:05,0.54,0.46,0.428,25.33,8.45,96.1,98.1,9.71,120,0.53,7.48,0,2.48,14.897
3/28/2023,5:10:00,3/28/2023 5:10,0.54,0.45,0.428,25.38,8.46,96.6,98.7,9.77,119.8,0.49,7.49,0,2.28,14.881
3/28/2023,5:15:00,3/28/2023 5:15,0.55,0.48,0.43,25.44,8.49,97.2,99.3,9.83,119.5,0.53,7.51,0,2.49,14.864
3/28/2023,5:20:00,3/28/2023 5:20,0.55,0.46,0.43,25.44,8.49,97.5,99.6,9.87,119.5,0.56,7.52,0,2.71,14.798
3/28/2023,5:25:00,3/28/2023 5:25,0.55,0.47,0.429,25.67,8.56,98.2,100.3,9.95,119.3,0.53,7.53,0,2.56,14.74
3/28/2023,5:30:00,3/28/2023 5:30,0.56,0.49,0.428,25.78,8.6,99,101.1,10.03,119.1,0.54,7.55,0,2.33,14.757
3/28/2023,5:35:00,3/28/2023 5:35,0.56,0.46,0.428,25.92,8.65,99.4,101.5,10.07,118.9,0.56,7.57,0,2.61,14.763
3/28/2023,5:40:00,3/28/2023 5:40,0.56,0.44,0.43,25.99,8.67,100.7,102.9,10.2,118.7,0.53,7.6,0,2.62,14.816
3/28/2023,5:45:00,3/28/2023 5:45,0.57,0.48,0.432,25.99,8.67,101.6,103.8,10.28,118.7,0.55,7.62,0,2.62,14.855
3/28/2023,5:50:00,3/28/2023 5:50,0.57,0.46,0.433,26.17,8.73,101.5,103.6,10.27,118.5,0.53,7.62,0,2.36,14.795
3/28/2023,5:55:00,3/28/2023 5:55,0.57,0.46,0.439,26.17,8.73,100.8,102.9,10.21,118.5,0.52,7.62,0,2.48,14.747
3/28/2023,6:00:00,3/28/2023 6:00,0.58,0.48,0.441,26.23,8.75,101.4,103.6,10.29,118.6,0.55,7.63,0,2.46,14.726
3/28/2023,6:05:00,3/28/2023 6:05,0.58,0.49,0.44,26.08,8.7,100.9,103,10.23,118.8,0.54,7.61,0,2.38,14.735
3/28/2023,6:10:00,3/28/2023 6:10,0.58,0.52,0.438,26.18,8.73,99.5,101.6,10.13,119,0.57,7.59,0,2.52,14.532
3/28/2023,6:15:00,3/28/2023 6:15,0.59,0.54,0.436,26.23,8.75,99.2,101.2,10.1,119.1,0.55,7.56,0,2.69,14.515
3/28/2023,6:20:00,3/28/2023 6:20,0.59,0.62,0.433,26.22,8.75,99.5,101.6,10.12,118.9,0.59,7.56,1.01,2.52,14.6
3/28/2023,6:25:00,3/28/2023 6:25,0.59,0.49,0.433,26.27,8.76,99.5,101.6,10.12,118.9,0.57,7.57,4.85,3.25,14.585
3/28/2023,6:30:00,3/28/2023 6:30,0.6,0.5,0.432,26.21,8.74,99.9,102,10.15,118.9,0.55,7.57,13.17,2.43,14.609
3/28/2023,6:35:00,3/28/2023 6:35,0.6,0.49,0.432,26.22,8.75,99.9,102,10.16,118.9,0.53,7.58,32.45,2.51,14.612
3/28/2023,6:40:00,3/28/2023 6:40,0.6,0.49,0.435,26.22,8.75,99.5,101.6,10.12,118.9,0.53,7.57,60.06,2.52,14.568
3/28/2023,6:45:00,3/28/2023 6:45,0.61,0.51,0.432,26.23,8.75,98.5,100.6,10.05,119,0.57,7.56,107.16,2.8,14.466
3/28/2023,6:50:00,3/28/2023 6:50,0.61,0.48,0.432,26.29,8.77,99.4,101.5,10.13,118.9,0.55,7.57,186,2.54,14.507
3/28/2023,6:55:00,3/28/2023 6:55,0.61,0.53,0.431,26.22,8.74,99.2,101.3,10.1,119.1,0.54,7.57,216.96,2.59,14.546
3/28/2023,7:00:00,3/28/2023 7:00,0.62,0.54,0.434,26.12,8.71,99.4,101.5,10.11,119,0.55,7.57,266.72,2.59,14.574
3/28/2023,7:05:00,3/28/2023 7:05,0.62,0.62,0.436,26.16,8.73,99.8,101.9,10.15,118.9,0.61,7.58,299.84,2.61,14.553
