Date,Time,DateTime,days,Chlorophyll_RFU,Cond_uS_cm,Depth_m,fDOM_QSU,fDOM_RFU,ODO_PerSat,ODO_PerLocSat,ODO_mg_L,Pressure_psi_a,Sal_psu,SpCond_uS_cm,TAL_PC_RFU,TDS_mg_L,pH,Temp_C,Light_lux,Turbidity_FNU
3/27/2023,18:40:00,3/27/2023 18:40,0.1,0.49,106.1,0.408,22.26,7.42,107.5,109.8,10.07,0.275,0.06,121.1,0.29,79,7.59,18.506,829.12,2.47
3/27/2023,18:45:00,3/27/2023 18:45,0.11,0.47,106,0.408,22.32,7.44,107.6,109.9,10.09,0.276,0.06,121.2,0.39,79,7.59,18.438,705.92,2.19
3/27/2023,18:50:00,3/27/2023 18:50,0.11,0.42,105.6,0.409,22.44,7.49,106.6,108.8,10.02,0.277,0.06,121,0.31,79,7.58,18.323,547.52,1.92
3/27/2023,18:55:00,3/27/2023 18:55,0.11,0.43,105.4,0.41,22.29,7.44,106.6,108.9,10.02,0.278,0.06,120.8,0.31,78,7.58,18.343,426.56,2.19
3/27/2023,19:00:00,3/27/2023 19:00,0.12,0.9,105.1,0.41,22.34,7.45,106.9,109.1,10.06,0.279,0.06,120.6,0.45,78,7.59,18.279,291.76,2.31
3/27/2023,19:05:00,3/27/2023 19:05,0.12,0.46,104.8,0.411,22.37,7.46,105.2,107.5,9.92,0.28,0.06,120.4,0.33,78,7.56,18.186,177.28,2.01
3/27/2023,19:10:00,3/27/2023 19:10,0.13,0.45,104.7,0.412,22.57,7.53,106.8,109.1,10.07,0.281,0.06,120.3,0.31,78,7.59,18.214,96.64,2.56
3/27/2023,19:15:00,3/27/2023 19:15,0.13,0.43,104.3,0.412,22.69,7.57,106.2,108.4,10.03,0.282,0.06,120.2,0.34,78,7.58,18.073,42.2,2.2
3/27/2023,19:20:00,3/27/2023 19:20,0.13,0.45,104.3,0.413,22.72,7.58,106.1,108.3,10.02,0.283,0.06,120.1,0.35,78,7.59,18.102,14.99,2.4
3/27/2023,19:25:00,3/27/2023 19:25,0.14,,104.1,0.413,22.78,7.6,108.6,110.9,10.25,0.282,0.06,119.9,,78,7.63,18.133,4.44,2.1
3/27/2023,19:30:00,3/27/2023 19:30,0.14,0.44,103.8,0.415,22.87,7.63,108.8,111.1,10.29,0.285,0.06,119.6,0.37,78,7.65,18.054,1.01,2.29
3/27/2023,19:35:00,3/27/2023 19:35,0.14,0.44,103.5,0.416,23,7.67,109.1,111.4,10.34,0.286,0.06,119.7,0.36,78,7.65,17.918,0,2.61
3/27/2023,19:40:00,3/27/2023 19:40,0.15,0.44,103.3,0.417,23.07,7.7,106.1,108.3,10.07,0.288,0.06,119.7,0.34,78,7.6,17.84,0,2.13
3/27/2023,19:45:00,3/27/2023 19:45,0.15,0.41,103.3,0.417,23.04,7.68,106,108.3,10.07,0.288,0.06,119.6,0.32,78,7.6,17.833,0,2.2
3/27/2023,19:50:00,3/27/2023 19:50,0.15,0.43,103.1,0.417,23.26,7.76,104.7,106.9,9.96,0.288,0.06,119.6,0.33,78,7.57,17.759,0,2.06
3/27/2023,19:55:00,3/27/2023 19:55,0.16,0.43,103,0.418,23.19,7.74,103.9,106.1,9.88,0.29,0.06,119.5,0.39,78,7.56,17.789,0,2.23
3/27/2023,20:00:00,3/27/2023 20:00,0.16,0.45,102.8,0.419,23.19,7.74,104.4,106.6,9.95,0.291,0.06,119.5,0.37,78,7.55,17.656,0,2.03
3/27/2023,20:05:00,3/27/2023 20:05,0.16,0.48,102.7,0.42,23.12,7.71,105.8,108.1,10.08,0.292,0.06,119.3,0.39,78,7.58,17.709,0,2.56
3/27/2023,20:10:00,3/27/2023 20:10,0.17,0.43,102.6,0.42,23.12,7.71,104,106.1,9.9,0.292,0.06,119.2,0.37,78,7.56,17.685,0,2.21
3/27/2023,20:15:00,3/27/2023 20:15,0.17,0.46,102.7,0.421,23.2,7.74,105.5,107.7,10.04,0.294,0.06,119.2,0.35,77,7.59,17.759,0,2.15
3/27/2023,20:20:00,3/27/2023 20:20,0.17,0.42,102.7,0.422,23.21,7.74,105.9,108.2,10.08,0.296,0.06,119.2,0.37,78,7.6,17.751,0,2.24
3/27/2023,20:25:00,3/27/2023 20:25,0.18,0.44,102.6,0.422,23.26,7.76,107.5,109.8,10.24,0.296,0.06,119.1,0.36,77,7.65,17.724,0,2.02
3/27/2023,20:30:00,3/27/2023 20:30,0.18,0.42,102.4,0.423,23.29,7.77,108.4,110.7,10.31,0.296,0.06,118.9,0.33,77,7.67,17.743,0,2.11
3/27/2023,20:35:00,3/27/2023 20:35,0.18,0.44,102.4,0.423,23.28,7.77,107.7,110,10.26,0.297,0.06,119,0.34,77,7.66,17.688,0,2.19
3/27/2023,20:40:00,3/27/2023 20:40,0.19,0.4,102.2,0.424,23.31,7.78,107.5,109.8,10.24,0.298,0.06,118.8,0.33,77,7.66,17.676,0,2.25
3/27/2023,20:45:00,3/27/2023 20:45,0.19,0.43,102.4,0.424,23.31,7.78,108,110.2,10.28,0.298,0.06,119,0.32,77,7.66,17.696,0,2.2
3/27/2023,20:50:00,3/27/2023 20:50,0.19,0.39,102.5,0.425,23.26,7.76,108.3,110.6,10.31,0.3,0.06,119,0.33,77,7.67,17.73,0,2.07
3/27/2023,20:55:00,3/27/2023 20:55,0.2,0.44,102.1,0.425,23.36,7.79,107.9,110.2,10.3,0.3,0.06,118.9,0.35,77,7.68,17.6,0,2.15
3/27/2023,21:00:00,3/27/2023 21:00,0.2,0.43,102,0.427,23.44,7.82,106.4,108.7,10.17,0.303,0.06,119,0.35,77,7.65,17.546,0,2.2
3/27/2023,21:05:00,3/27/2023 21:05,0.2,0.42,101.8,0.428,23.28,7.76,104.9,107.1,10.06,0.304,0.06,119.2,0.36,77,7.61,17.364,0,2.18
3/27/2023,21:10:00,3/27/2023 21:10,0.21,0.46,101.8,0.431,23.39,7.8,103.8,106,9.94,0.307,0.06,119.1,1.41,77,7.58,17.404,0,2.25
3/27/2023,21:15:00,3/27/2023 21:15,0.21,0.48,101.7,0.432,23.32,7.78,102.4,104.5,9.83,0.31,0.06,119.3,0.44,78,7.54,17.279,0,2.58
3/27/2023,21:20:00,3/27/2023 21:20,0.22,0.48,101.6,0.433,23.22,7.74,101.1,103.2,9.72,0.311,0.06,119.3,0.38,78,7.51,17.228,0,2.98
3/27/2023,21:25:00,3/27/2023 21:25,0.22,0.57,101.3,0.435,23.25,7.76,101.7,103.8,9.78,0.313,0.06,119,0.42,77,7.51,17.197,0,3.76
3/27/2023,21:30:00,3/27/2023 21:30,0.22,0.5,101.2,0.435,23.4,7.81,99.9,102,9.62,0.313,0.06,118.9,0.46,77,7.48,17.182,0,3.3
3/27/2023,21:35:00,3/27/2023 21:35,0.23,0.51,101,0.436,23.36,7.79,99.5,101.6,9.6,0.315,0.06,119,0.4,77,7.46,17.092,0,3.11
3/27/2023,21:40:00,3/27/2023 21:40,0.23,0.47,100.7,0.436,23.41,7.81,98.5,100.6,9.52,0.316,0.06,118.9,0.4,77,7.44,16.981,0,3.23
3/27/2023,21:45:00,3/27/2023 21:45,0.23,0.48,100.5,0.437,23.59,7.87,98,100,9.47,0.317,0.06,118.7,0.4,77,7.45,16.974,0,2.96
3/27/2023,21:50:00,3/27/2023 21:50,0.24,0.5,100.3,0.439,23.6,7.87,98.2,100.3,9.52,0.319,0.06,118.8,0.4,77,7.44,16.847,0,3.07
3/27/2023,21:55:00,3/27/2023 21:55,0.24,0.47,100.4,0.439,23.64,7.89,98.5,100.6,9.52,0.319,0.06,118.6,0.4,77,7.45,16.96,0,2.46
3/27/2023,22:00:00,3/27/2023 22:00,0.24,0.46,100.3,0.44,23.7,7.91,98.7,100.8,9.56,0.321,0.06,118.6,0.4,77,7.45,16.923,0,2.57
3/27/2023,22:05:00,3/27/2023 22:05,0.25,0.48,100.1,0.44,23.82,7.95,99.1,101.2,9.59,0.321,0.06,118.4,0.42,77,7.47,16.907,0,2.5
3/27/2023,22:10:00,3/27/2023 22:10,0.25,0.47,99.8,0.439,23.96,7.99,98.1,100.2,9.51,0.319,0.06,118.3,0.42,77,7.46,16.816,0,2.57
3/27/2023,22:15:00,3/27/2023 22:15,0.25,0.44,99.7,0.44,23.96,7.99,98.2,100.3,9.53,0.321,0.06,118.2,0.42,77,7.46,16.8,0,2.49
3/27/2023,22:20:00,3/27/2023 22:20,0.26,0.46,99.8,0.44,23.99,8,98.4,100.5,9.56,0.321,0.06,118.5,0.46,77,7.46,16.752,0,2.66
3/27/2023,22:25:00,3/27/2023 22:25,0.26,0.46,99.5,0.442,23.98,8,98.1,100.2,9.54,0.324,0.06,118.2,0.4,77,7.46,16.714,0,2.63
3/27/2023,22:30:00,3/27/2023 22:30,0.26,0.49,99.5,0.441,24.05,8.02,98.5,100.6,9.57,0.322,0.06,118.1,0.43,77,7.47,16.737,0,2.58
3/27/2023,22:35:00,3/27/2023 22:35,0.27,0.45,99.4,0.441,24.1,8.04,99.5,101.6,9.67,0.323,0.06,118,0.43,77,7.5,16.75,0,3.36
3/27/2023,22:40:00,3/27/2023 22:40,0.27,0.46,99.8,0.441,24.1,8.04,99.8,101.9,9.68,0.322,0.06,118.2,0.43,77,7.5,16.821,0,2.47
3/27/2023,22:45:00,3/27/2023 22:45,0.27,0.44,99.6,0.442,24.12,8.05,100,102.1,9.73,0.323,0.06,118.4,0.44,77,7.5,16.677,0,2.4
3/27/2023,22:50:00,3/27/2023 22:50,0.28,0.45,99,0.441,24.2,8.07,98.1,100.1,9.57,0.322,0.06,118.1,0.44,77,7.48,16.543,0,2.43
3/27/2023,22:55:00,3/27/2023 22:55,0.28,0.46,99.1,0.44,24.17,8.06,98.4,100.5,9.6,0.321,0.06,118.2,0.47,77,7.48,16.568,0,2.53
3/27/2023,23:00:00,3/27/2023 23:00,0.28,0.49,98.9,0.441,24.12,8.05,98.7,100.8,9.63,0.322,0.06,118,0.46,77,7.48,16.553,0,2.59
3/27/2023,23:05:00,3/27/2023 23:05,0.29,0.52,99.2,0.443,24.18,8.07,99.4,101.5,9.68,0.324,0.06,118.1,0.44,77,7.5,16.598,0,2.47
3/27/2023,23:10:00,3/27/2023 23:10,0.29,0.47,99.1,0.441,24.2,8.07,99.6,101.7,9.71,0.322,0.06,118.1,0.45,77,7.51,16.551,0,2.49
3/27/2023,23:15:00,3/27/2023 23:15,0.3,0.48,98.8,0.441,24.3,8.11,99.4,101.5,9.72,0.322,0.06,118.1,0.47,77,7.51,16.438,0,2.33
3/27/2023,23:20:00,3/27/2023 23:20,0.3,0.46,98.7,0.44,24.29,8.1,99.5,101.6,9.74,0.321,0.06,118.1,0.42,77,7.51,16.411,0,2.51
3/27/2023,23:25:00,3/27/2023 23:25,0.3,0.46,99,0.44,24.25,8.09,99.8,101.9,9.74,0.32,0.06,118.2,0.43,77,7.51,16.5,0,2.47
3/27/2023,23:30:00,3/27/2023 23:30,0.31,0.45,99,0.439,24.3,8.1,100,102.1,9.79,0.32,0.06,118.4,0.41,77,7.52,16.389,0,2.41
3/27/2023,23:35:00,3/27/2023 23:35,0.31,0.47,98.6,0.439,24.4,8.14,99.3,101.4,9.72,0.32,0.06,118.1,0.45,77,7.51,16.34,0,2.4
3/27/2023,23:40:00,3/27/2023 23:40,0.31,0.46,98.7,0.439,24.39,8.14,99.8,101.9,9.78,0.319,0.06,118.3,0.44,77,7.52,16.323,0,2.46
3/27/2023,23:45:00,3/27/2023 23:45,0.32,0.44,98.5,0.439,24.47,8.16,100.1,102.2,9.82,0.319,0.06,118.2,0.43,77,7.53,16.286,0,2.49
3/27/2023,23:50:00,3/27/2023 23:50,0.32,0.48,98.5,0.439,24.38,8.13,100.1,102.2,9.82,0.319,0.06,118.3,0.45,77,7.53,16.26,0,3.75
3/27/2023,23:55:00,3/27/2023 23:55,0.32,0.44,98.4,0.439,24.47,8.16,99.8,101.9,9.81,0.319,0.06,118.3,0.43,77,7.53,16.198,0,2.55
3/28/2023,0:00:00,3/28/2023 0:00,0.33,0.46,98.4,0.439,24.55,8.19,100,102.1,9.83,0.32,0.06,118.4,0.45,77,7.53,16.176,0,2.54
3/28/2023,0:05:00,3/28/2023 0:05,0.33,0.5,98.6,0.439,24.52,8.18,99.7,101.8,9.79,0.319,0.06,118.4,0.47,77,7.53,16.228,0,2.61
3/28/2023,0:10:00,3/28/2023 0:10,0.33,0.52,98.3,0.439,24.56,8.19,99.9,102,9.84,0.32,0.06,118.4,0.46,77,7.53,16.109,0,2.59
3/28/2023,0:15:00,3/28/2023 0:15,0.34,0.44,98.4,0.438,24.56,8.19,100,102.1,9.86,0.318,0.06,118.6,0.46,77,7.53,16.066,0,2.4
3/28/2023,0:20:00,3/28/2023 0:20,0.34,0.43,98.5,0.439,24.55,8.19,100.2,102.4,9.88,0.319,0.06,118.7,0.49,77,7.53,16.075,0,2.38
3/28/2023,0:25:00,3/28/2023 0:25,0.34,0.46,98.5,0.439,24.54,8.19,99.9,102.1,9.85,0.319,0.06,118.8,0.46,77,7.53,16.048,0,2.37
3/28/2023,0:30:00,3/28/2023 0:30,0.35,0.45,98.4,0.44,24.6,8.2,100.2,102.3,9.88,0.321,0.06,118.7,0.49,77,7.54,16.031,0,2.35
3/28/2023,0:35:00,3/28/2023 0:35,0.35,0.48,98.3,0.438,24.62,8.21,100.1,102.2,9.88,0.318,0.06,118.8,0.47,77,7.53,15.982,0,2.43
3/28/2023,0:40:00,3/28/2023 0:40,0.35,0.46,98.4,0.438,24.61,8.21,100.2,102.4,9.89,0.318,0.06,118.8,0.47,77,7.53,16.009,0,2.33
3/28/2023,0:45:00,3/28/2023 0:45,0.36,0.46,98.5,0.439,24.58,8.2,100.3,102.4,9.9,0.32,0.06,118.9,0.45,77,7.53,16.007,0,2.5
3/28/2023,0:50:00,3/28/2023 0:50,0.36,0.46,98.5,0.441,24.58,8.2,99.6,101.7,9.83,0.322,0.06,119,0.5,77,7.52,15.967,0,2.41
3/28/2023,0:55:00,3/28/2023 0:55,0.36,0.43,98.4,0.442,24.63,8.22,100.4,102.5,9.92,0.323,0.06,119,0.47,77,7.53,15.937,0,2.35
3/28/2023,1:00:00,3/28/2023 1:00,0.37,0.43,98.3,0.442,24.66,8.23,99.5,101.6,9.85,0.324,0.06,119,0.46,77,7.52,15.861,0,2.47
3/28/2023,1:05:00,3/28/2023 1:05,0.37,0.47,98.5,0.443,24.54,8.19,99.9,102,9.88,0.325,0.06,119.1,0.46,77,7.53,15.917,0,2.39
3/28/2023,1:10:00,3/28/2023 1:10,0.38,0.41,98.4,0.444,24.63,8.21,99.4,101.5,9.85,0.327,0.06,119.3,0.48,78,7.52,15.818,0,2.35
3/28/2023,1:15:00,3/28/2023 1:15,0.38,0.43,98.3,0.444,24.62,8.21,99.2,101.3,9.83,0.327,0.06,119.2,0.48,77,7.52,15.819,0,2.39
3/28/2023,1:20:00,3/28/2023 1:20,0.38,0.45,98.4,0.442,24.6,8.21,99.6,101.7,9.87,0.324,0.06,119.4,0.46,78,7.52,15.816,0,2.35
3/28/2023,1:25:00,3/28/2023 1:25,0.39,0.44,98.2,0.441,24.68,8.23,99.2,101.3,9.84,0.323,0.06,119.2,0.49,77,7.52,15.765,0,2.29
3/28/2023,1:30:00,3/28/2023 1:30,0.39,0.43,98.2,0.441,24.66,8.22,99.4,101.5,9.86,0.322,0.06,119.2,0.48,78,7.52,15.766,0,2.4
3/28/2023,1:35:00,3/28/2023 1:35,0.39,0.43,98.2,0.44,24.61,8.21,99.4,101.5,9.87,0.321,0.06,119.3,0.48,78,7.53,15.746,0,2.23
3/28/2023,1:40:00,3/28/2023 1:40,0.4,0.46,98.3,0.441,24.66,8.23,99.1,101.2,9.83,0.322,0.06,119.4,0.47,78,7.52,15.757,0,2.47
3/28/2023,1:45:00,3/28/2023 1:45,0.4,0.46,98.3,0.441,24.61,8.21,99.2,101.3,9.85,0.323,0.06,119.4,0.48,78,7.52,15.736,0,2.22
3/28/2023,1:50:00,3/28/2023 1:50,0.4,0.42,98.4,0.44,24.6,8.21,99,101.1,9.83,0.321,0.06,119.6,0.48,78,7.52,15.707,0,2.31
3/28/2023,1:55:00,3/28/2023 1:55,0.41,0.49,98.4,0.44,24.61,8.21,98.6,100.7,9.79,0.321,0.06,119.7,0.5,78,7.51,15.681,0,2.23
3/28/2023,2:00:00,3/28/2023 2:00,0.41,0.44,98.6,0.441,24.58,8.2,98.5,100.5,9.77,0.323,0.06,119.8,0.49,78,7.51,15.736,0,2.27
3/28/2023,2:05:00,3/28/2023 2:05,0.41,0.47,98.6,0.44,24.6,8.21,98.6,100.7,9.78,0.321,0.06,119.8,0.47,78,7.51,15.732,0,2.45
3/28/2023,2:10:00,3/28/2023 2:10,0.42,0.48,98.6,0.438,24.56,8.19,98.2,100.2,9.75,0.317,0.06,120,0.5,78,7.5,15.69,0,2.14
3/28/2023,2:15:00,3/28/2023 2:15,0.42,0.44,98.6,0.437,24.57,8.19,98.2,100.3,9.77,0.317,0.06,120,0.49,78,7.51,15.645,0,2.3
3/28/2023,2:20:00,3/28/2023 2:20,0.42,0.41,98.4,0.438,24.66,8.23,98.1,100.2,9.76,0.318,0.06,119.9,0.46,78,7.5,15.619,0,2.24
3/28/2023,2:25:00,3/28/2023 2:25,0.43,0.52,98.3,0.438,24.63,8.21,98,100.1,9.76,0.318,0.06,120,0.49,78,7.5,15.562,0,2.39
3/28/2023,2:30:00,3/28/2023 2:30,0.43,0.43,98.4,0.438,24.61,8.21,98,100.1,9.76,0.318,0.06,120,0.5,78,7.5,15.567,0,2.28
3/28/2023,2:35:00,3/28/2023 2:35,0.43,0.44,98.3,0.439,24.65,8.22,97.8,99.8,9.74,0.32,0.06,119.9,0.5,78,7.5,15.564,0,2.31
3/28/2023,2:40:00,3/28/2023 2:40,0.44,0.4,98.4,0.439,24.65,8.22,97.8,99.9,9.74,0.319,0.06,120.1,0.46,78,7.5,15.565,0,2.4
3/28/2023,2:45:00,3/28/2023 2:45,0.44,0.45,98.4,0.438,24.65,8.22,97.6,99.7,9.72,0.319,0.06,120.1,0.47,78,7.49,15.565,0,2.38
3/28/2023,2:50:00,3/28/2023 2:50,0.44,0.48,98.1,0.435,24.7,8.24,97.5,99.5,9.73,0.314,0.06,119.9,0.47,78,7.49,15.471,0,2.27
3/28/2023,2:55:00,3/28/2023 2:55,0.45,0.46,98.1,0.435,24.72,8.25,97.3,99.4,9.72,0.313,0.06,120,0.49,78,7.49,15.448,0,2.46
3/28/2023,3:00:00,3/28/2023 3:00,0.45,0.5,97.9,0.434,24.75,8.26,97.3,99.4,9.73,0.312,0.06,119.9,0.5,78,7.49,15.386,0,2.15
3/28/2023,3:05:00,3/28/2023 3:05,0.45,0.48,97.9,0.433,24.71,8.24,97.2,99.3,9.73,0.311,0.06,120,0.5,78,7.5,15.348,0,2.2
3/28/2023,3:10:00,3/28/2023 3:10,0.46,0.45,97.8,0.432,24.79,8.27,97,99.1,9.72,0.309,0.06,120,0.52,78,7.49,15.312,0,2.33
3/28/2023,3:15:00,3/28/2023 3:15,0.46,0.44,97.8,0.433,24.82,8.28,97,99,9.71,0.311,0.06,120,0.51,78,7.49,15.325,0,2.29
3/28/2023,3:20:00,3/28/2023 3:20,0.47,0.48,97.7,0.433,24.82,8.28,96.9,98.9,9.71,0.311,0.06,120.1,0.52,78,7.49,15.258,0,2.18
3/28/2023,3:25:00,3/28/2023 3:25,0.47,0.44,97.7,0.434,24.83,8.28,96.8,98.8,9.7,0.312,0.06,120,0.5,78,7.49,15.257,0,2.24
3/28/2023,3:30:00,3/28/2023 3:30,0.47,0.48,97.7,0.434,24.8,8.27,96.3,98.3,9.66,0.313,0.06,120.1,0.51,78,7.48,15.241,0,2.16
3/28/2023,3:35:00,3/28/2023 3:35,0.48,0.4,97.8,0.433,24.86,8.29,96.6,98.6,9.68,0.311,0.06,120.1,0.49,78,7.48,15.262,0,2.17
3/28/2023,3:40:00,3/28/2023 3:40,0.48,0.42,97.8,0.434,24.85,8.29,96.8,98.8,9.7,0.312,0.06,120.1,0.48,78,7.48,15.297,0,2.4
3/28/2023,3:45:00,3/28/2023 3:45,0.48,0.5,97.8,0.434,24.86,8.29,96.6,98.6,9.68,0.313,0.06,120.1,0.53,78,7.48,15.271,0,2.56
3/28/2023,3:50:00,3/28/2023 3:50,0.49,0.43,97.7,0.432,24.82,8.28,96.4,98.4,9.67,0.31,0.06,120.1,0.5,78,7.48,15.243,0,2.24
3/28/2023,3:55:00,3/28/2023 3:55,0.49,0.44,97.6,0.433,24.91,8.31,96.4,98.4,9.67,0.311,0.06,120.1,0.51,78,7.48,15.194,0,2.3
3/28/2023,4:00:00,3/28/2023 4:00,0.49,0.49,97.3,0.436,24.96,8.32,96.1,98.1,9.67,0.315,0.06,120,0.49,78,7.48,15.084,0,2.58
3/28/2023,4:05:00,3/28/2023 4:05,0.5,0.5,97.5,0.435,24.9,8.31,94.2,96.2,9.49,0.314,0.06,120.3,0.52,78,7.44,15.068,0,2.45
3/28/2023,4:10:00,3/28/2023 4:10,0.5,0.45,97.4,0.435,24.91,8.31,94.3,96.3,9.5,0.314,0.06,120.2,0.55,78,7.45,15.051,0,2.65
3/28/2023,4:15:00,3/28/2023 4:15,0.5,0.56,97.2,0.433,24.96,8.32,94.7,96.7,9.56,0.311,0.06,120.2,0.53,78,7.46,14.975,0,2.23
3/28/2023,4:20:00,3/28/2023 4:20,0.51,0.46,97.4,0.429,24.99,8.34,95.4,97.4,9.62,0.306,0.06,120.4,0.53,78,7.47,14.983,0,2.31
3/28/2023,4:25:00,3/28/2023 4:25,0.51,0.43,97.3,0.429,25.04,8.35,95,97,9.59,0.305,0.06,120.5,0.54,78,7.46,14.939,0,2.07
3/28/2023,4:30:00,3/28/2023 4:30,0.51,0.41,97.5,0.429,25.06,8.36,94.7,96.7,9.56,0.306,0.06,120.6,0.5,78,7.45,14.945,0,2.55
3/28/2023,4:35:00,3/28/2023 4:35,0.52,0.58,97.3,0.43,25.09,8.37,95.1,97.1,9.59,0.307,0.06,120.4,0.56,78,7.46,14.961,0,2.63
3/28/2023,4:40:00,3/28/2023 4:40,0.52,0.42,97.1,0.43,25.15,8.39,95.3,97.3,9.62,0.306,0.06,120.3,0.54,78,7.46,14.902,0,2.09
3/28/2023,4:45:00,3/28/2023 4:45,0.52,0.5,97,0.428,25.24,8.42,96.1,98.2,9.7,0.303,0.06,120,0.52,78,7.48,14.973,0,2.27
3/28/2023,4:50:00,3/28/2023 4:50,0.53,0.41,96.6,0.428,25.34,8.45,96.3,98.3,9.73,0.304,0.06,119.8,0.52,78,7.49,14.877,0,2.28
