Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1646480100,+3.47,+13.735, +8.785,+0.979
1646480700,+3.47,+13.700, +8.775,+0.979
1646481300,+3.47,+13.674, +8.758,+0.978
1646481900,+3.47,+13.665, +8.766,+0.979
1646482500,+3.47,+13.639, +8.751,+0.978
1646483100,+3.47,+13.622, +8.749,+0.978
1646483700,+3.47,+13.587, +8.776,+0.979
1646484300,+3.47,+13.578, +8.786,+0.979
1646484900,+3.47,+13.552, +8.808,+0.979
1646485500,+3.47,+13.526, +8.843,+0.979
1646486100,+3.47,+13.508, +8.876,+0.979
1646486700,+3.47,+13.508, +8.928,+0.979
1646487300,+3.47,+13.482, +8.991,+0.978
1646487900,+3.47,+13.482, +9.080,+0.979
1646488500,+3.47,+13.500, +9.160,+0.979
1646489100,+3.47,+13.482, +9.271,+0.978
1646489700,+3.47,+13.517, +9.378,+0.979
1646490300,+3.47,+13.517, +9.500,+0.979
1646490900,+3.47,+13.552, +9.604,+0.979
1646491500,+3.47,+13.569, +9.740,+0.979
1646492100,+3.47,+13.604, +9.837,+0.979
1646492700,+3.47,+13.622, +9.927,+0.979
1646493300,+3.47,+13.648,+10.032,+0.979
1646493900,+3.47,+13.683,+10.149,+0.979
1646494500,+3.47,+13.709,+10.244,+0.978
1646495100,+3.47,+13.726,+10.326,+0.979
1646495700,+3.47,+13.787,+10.470,+0.979
1646496300,+3.47,+13.874,+10.526,+0.979
1646496900,+3.47,+13.909,+10.625,+0.978
1646497500,+3.47,+13.953,+10.767,+0.980
1646498100,+3.47,+14.031,+10.795,+0.979
1646498700,+3.47,+14.048,+10.932,+0.979
1646499300,+3.47,+14.117,+11.030,+0.978
1646499900,+3.47,+14.204,+11.106,+0.979
1646500500,+3.47,+14.247,+11.126,+0.979
1646501100,+3.47,+14.256,+11.160,+0.979
1646501700,+3.47,+14.282,+11.181,+0.979
1646502300,+3.47,+14.299,+11.155,+0.978
1646502900,+3.47,+14.282,+11.202,+0.979
1646503500,+3.47,+14.308,+11.337,+0.979
1646504100,+3.47,+14.369,+11.317,+0.979
1646504700,+3.47,+14.386,+11.342,+0.979
1646505300,+3.47,+14.403,+11.412,+0.979
