Date,Time,DateTime,Chlorophyll_RFU,Depth_m,fDOM_RFU,ODO_PercSat,ODO_mg_L,SpCond_uS_cm,pH,Temp_C,PAR
10/23/2022,16:45:29,10/23/2022 16:45,0.19,0.44,2.69,129.4,12.85,6394.1,8.54,14.75,13.554
10/23/2022,16:50:29,10/23/2022 16:50,0.24,0.44,2.73,128.9,12.79,6392.6,8.53,14.736,11.297
10/23/2022,16:55:29,10/23/2022 16:55,0.23,0.44,2.68,129.1,12.81,6393.7,8.54,14.757,8.6418
10/23/2022,17:00:29,10/23/2022 17:00,0.18,0.44,2.69,129.4,12.84,6392.2,8.54,14.764,4.9785
10/23/2022,17:05:29,10/23/2022 17:05,0.29,0.44,2.69,129.8,12.88,6392.1,8.54,14.776,2.9977
10/23/2022,17:10:29,10/23/2022 17:10,0.22,0.438,2.69,130,12.9,6390.5,8.54,14.779,1.7288
10/23/2022,17:15:29,10/23/2022 17:15,0.07,0.438,2.68,130.1,12.9,6389.9,8.53,14.775,0.65068
10/23/2022,17:20:29,10/23/2022 17:20,0.2,0.438,2.71,130.1,12.9,6388.8,8.55,14.769,0.20346
10/23/2022,17:25:29,10/23/2022 17:25,0.23,0.438,2.75,129.7,12.87,6390.4,8.54,14.739,0.061968
10/23/2022,17:30:29,10/23/2022 17:30,0.21,0.438,2.74,129.6,12.86,6391.8,8.54,14.736,0.01536
10/23/2022,17:35:29,10/23/2022 17:35,0.18,0.44,2.66,129.6,12.87,6392.4,8.54,14.74,0.0026224
10/23/2022,17:40:29,10/23/2022 17:40,0.19,0.44,2.68,129.3,12.83,6391.8,8.54,14.741,2.27E-05
10/23/2022,17:45:29,10/23/2022 17:45,0.26,0.44,2.64,128.7,12.78,6396,8.53,14.737,0
10/23/2022,17:50:29,10/23/2022 17:50,0.19,0.44,2.65,127.7,12.67,6406.2,8.51,14.747,0
10/23/2022,17:55:29,10/23/2022 17:55,0.31,0.44,2.66,127.6,12.67,6400.1,8.52,14.734,0
10/23/2022,18:00:29,10/23/2022 18:00,0.25,0.44,2.62,127,12.6,6405.6,8.51,14.736,0
10/23/2022,18:05:29,10/23/2022 18:05,0.18,0.442,2.63,126.5,12.56,6405.8,8.5,14.748,0
10/23/2022,18:10:29,10/23/2022 18:10,0.22,0.441,2.64,126.4,12.54,6407.1,8.5,14.753,0
10/23/2022,18:15:29,10/23/2022 18:15,0.13,0.442,2.63,126.5,12.54,6408,8.5,14.781,0
10/23/2022,18:20:29,10/23/2022 18:20,0.2,0.442,2.63,128.4,12.72,6402.5,8.52,14.826,0
10/23/2022,18:25:29,10/23/2022 18:25,0.2,0.442,2.67,126.4,12.52,6417.1,8.5,14.827,0
10/23/2022,18:30:29,10/23/2022 18:30,0.25,0.443,2.65,125.4,12.42,6404.5,8.48,14.825,0
10/23/2022,18:35:29,10/23/2022 18:35,0.19,0.443,2.78,124.2,12.32,6415.6,8.45,14.789,0
10/23/2022,18:40:29,10/23/2022 18:40,0.3,0.443,2.68,123.7,12.25,6417.5,8.46,14.865,0
10/23/2022,18:45:29,10/23/2022 18:45,0.2,0.444,2.67,122.5,12.13,6423.4,8.44,14.864,0
10/23/2022,18:50:29,10/23/2022 18:50,0.27,0.444,2.57,122.7,12.14,6429.4,8.44,14.899,0
10/23/2022,18:55:29,10/23/2022 18:55,0.18,0.445,2.56,122.7,12.13,6425,8.44,14.899,0
10/23/2022,19:00:29,10/23/2022 19:00,0.18,0.446,2.54,122.5,12.13,6427.1,8.44,14.878,0
10/23/2022,19:05:29,10/23/2022 19:05,0.21,0.447,2.51,122.3,12.1,6429.2,8.44,14.895,0
10/23/2022,19:10:29,10/23/2022 19:10,0.16,0.447,2.52,121.7,12.03,6439.4,8.43,14.914,0
10/23/2022,19:15:29,10/23/2022 19:15,0.33,0.448,2.49,121,11.96,6432.1,8.41,14.914,0
10/23/2022,19:20:29,10/23/2022 19:20,0.13,0.448,2.36,119.3,11.75,6467.1,8.38,15.087,0
10/23/2022,19:25:29,10/23/2022 19:25,0.16,0.448,2.31,118.3,11.64,6467.1,8.36,15.146,0
10/23/2022,19:30:29,10/23/2022 19:30,0.19,0.449,2.28,117.2,11.51,6463,8.33,15.204,0
10/23/2022,19:35:29,10/23/2022 19:35,0.11,0.449,2.29,116.9,11.48,6460.8,8.33,15.196,0
10/23/2022,19:40:29,10/23/2022 19:40,0.21,0.448,2.35,116.7,11.48,6461.5,8.33,15.184,0
10/23/2022,19:45:29,10/23/2022 19:45,0.16,0.449,2.32,117.1,11.52,6458.7,8.34,15.171,0
10/23/2022,19:50:29,10/23/2022 19:50,0.16,0.45,2.33,117.2,11.52,6461.2,8.34,15.174,0
10/23/2022,19:55:29,10/23/2022 19:55,0.12,0.449,2.39,116.7,11.49,6461.6,8.33,15.118,0
10/23/2022,20:00:29,10/23/2022 20:00,0.16,0.45,2.35,116.7,11.48,6462.4,8.34,15.151,0
10/23/2022,20:05:29,10/23/2022 20:05,0.13,0.45,2.35,116.8,11.49,6461.3,8.34,15.138,0
10/23/2022,20:10:29,10/23/2022 20:10,0.11,0.451,2.37,117,11.51,6461.4,8.34,15.131,0
10/23/2022,20:15:29,10/23/2022 20:15,0.22,0.451,2.35,116.2,11.44,6461.4,8.33,15.117,0
10/23/2022,20:20:29,10/23/2022 20:20,0.33,0.452,2.37,116.8,11.49,6459.5,8.34,15.137,0
10/23/2022,20:25:29,10/23/2022 20:25,0.17,0.452,2.37,116.9,11.5,6459.7,8.34,15.123,0
10/23/2022,20:30:29,10/23/2022 20:30,0.14,0.453,2.39,116.7,11.49,6456.4,8.33,15.118,0
10/23/2022,20:35:29,10/23/2022 20:35,0.13,0.453,2.39,117,11.52,6457.6,8.33,15.109,0
10/23/2022,20:40:29,10/23/2022 20:40,0.2,0.452,2.45,116.5,11.47,6458.8,8.33,15.095,0
10/23/2022,20:45:29,10/23/2022 20:45,0.19,0.453,2.4,117,11.52,6458.4,8.34,15.1,0
10/23/2022,20:50:29,10/23/2022 20:50,0.15,0.453,2.39,117.3,11.54,6457.8,8.34,15.114,0
10/23/2022,20:55:29,10/23/2022 20:55,0.15,0.452,2.38,117.1,11.53,6458.6,8.34,15.107,0
10/23/2022,21:00:29,10/23/2022 21:00,0.11,0.454,2.4,117.1,11.53,6457.1,8.34,15.108,0
10/23/2022,21:05:29,10/23/2022 21:05,0.2,0.455,2.42,116.9,11.51,6458.1,8.34,15.074,0
10/23/2022,21:10:29,10/23/2022 21:10,0.04,0.454,2.42,117.1,11.53,6454.7,8.34,15.078,0
10/23/2022,21:15:29,10/23/2022 21:15,0.4,0.454,2.5,116.6,11.5,6456.2,8.33,15.054,0
10/23/2022,21:20:29,10/23/2022 21:20,0.14,0.455,2.44,116.8,11.51,6458.6,8.32,15.058,0
10/23/2022,21:25:29,10/23/2022 21:25,0.14,0.456,2.46,116.1,11.44,6459.1,8.32,15.039,0
10/23/2022,21:30:29,10/23/2022 21:30,0.12,0.456,2.49,116.4,11.48,6462.5,8.31,15.015,0
10/23/2022,21:35:29,10/23/2022 21:35,0.14,0.456,2.49,116.3,11.47,6457.3,8.31,15.027,0
10/23/2022,21:40:29,10/23/2022 21:40,0.15,0.456,2.48,116.3,11.47,6459.8,8.33,15.028,0
10/23/2022,21:45:29,10/23/2022 21:45,0.22,0.456,2.48,116.2,11.46,6458.9,8.33,15.023,0
10/23/2022,21:50:29,10/23/2022 21:50,0.22,0.458,2.5,116.3,11.47,6459.5,8.31,15.014,0
10/23/2022,21:55:29,10/23/2022 21:55,0.25,0.458,2.51,115.1,11.36,6460.5,8.3,14.993,0
10/23/2022,22:00:29,10/23/2022 22:00,0.19,0.458,2.49,113.9,11.24,6459.1,8.32,14.997,0
10/23/2022,22:05:29,10/23/2022 22:05,0.12,0.457,2.52,114.3,11.29,6467.8,8.3,14.965,0
10/23/2022,22:10:29,10/23/2022 22:10,0.18,0.457,2.48,114.8,11.34,6457.4,8.32,14.962,0
10/23/2022,22:15:29,10/23/2022 22:15,0.17,0.456,2.5,114.5,11.31,6458.2,8.31,14.961,0
10/23/2022,22:20:29,10/23/2022 22:20,0.21,0.456,2.49,115.2,11.38,6461.8,8.32,14.951,0
10/23/2022,22:25:29,10/23/2022 22:25,0.15,0.455,2.52,114.8,11.35,6463.9,8.31,14.927,0
10/23/2022,22:30:29,10/23/2022 22:30,0.24,0.456,2.51,114.6,11.33,6465.1,8.3,14.918,0
10/23/2022,22:35:29,10/23/2022 22:35,0.21,0.457,2.52,114.2,11.3,6465,8.29,14.896,0
10/23/2022,22:40:29,10/23/2022 22:40,0.2,0.457,2.49,114.1,11.29,6463.4,8.29,14.889,0
10/23/2022,22:45:29,10/23/2022 22:45,0.28,0.456,2.61,114.3,11.31,6465.4,8.29,14.877,0
10/23/2022,22:50:29,10/23/2022 22:50,0.26,0.457,2.63,112.2,11.1,6472.8,8.26,14.869,0
10/23/2022,22:55:29,10/23/2022 22:55,0.21,0.457,2.65,110.9,10.98,6474.6,8.22,14.842,0
10/23/2022,23:00:29,10/23/2022 23:00,0.23,0.457,2.57,111.3,11.02,6476.6,8.26,14.838,0
10/23/2022,23:05:29,10/23/2022 23:05,0.3,0.457,2.62,112.3,11.12,6470.7,8.27,14.841,0
10/23/2022,23:10:29,10/23/2022 23:10,0.2,0.457,2.63,112.1,11.1,6465,8.27,14.846,0
10/23/2022,23:15:29,10/23/2022 23:15,0.18,0.457,2.79,108.4,10.73,6474.6,8.22,14.826,0
10/23/2022,23:20:29,10/23/2022 23:20,0.13,0.457,2.63,112.8,11.18,6471.6,8.28,14.826,0
10/23/2022,23:25:29,10/23/2022 23:25,0.23,0.458,2.74,111,11,6476.3,8.23,14.806,0
10/23/2022,23:30:29,10/23/2022 23:30,0.29,0.458,2.66,110.2,10.92,6471.6,8.25,14.808,0
10/23/2022,23:35:29,10/23/2022 23:35,0.14,0.459,2.72,111.4,11.04,6469.5,8.23,14.809,0
10/23/2022,23:40:29,10/23/2022 23:40,0.17,0.459,2.67,110.5,10.95,6471.8,8.25,14.799,0
10/23/2022,23:45:29,10/23/2022 23:45,0.3,0.459,2.64,112.6,11.16,6470,8.28,14.815,0
10/23/2022,23:50:29,10/23/2022 23:50,0.21,0.458,2.78,109.7,10.87,6483.5,8.2,14.777,0
10/23/2022,23:55:29,10/23/2022 23:55,0.17,0.458,2.7,111.1,11.01,6475.9,8.25,14.798,0
10/24/2022,0:00:29,10/24/2022 0:00,0.2,0.458,2.81,109.2,10.83,6483.4,8.23,14.782,0
10/24/2022,0:05:29,10/24/2022 0:05,0.24,0.458,2.71,109.1,10.81,6479.9,8.23,14.787,0
10/24/2022,0:10:29,10/24/2022 0:10,0.33,0.457,2.75,108.9,10.8,6483.4,8.21,14.764,0
10/24/2022,0:15:29,10/24/2022 0:15,0.24,0.458,2.83,108.1,10.73,6490.8,8.2,14.733,0
10/24/2022,0:20:29,10/24/2022 0:20,0.26,0.458,2.82,107.5,10.67,6492,8.18,14.728,0
10/24/2022,0:25:29,10/24/2022 0:25,0.28,0.457,2.74,109.3,10.84,6485.2,8.22,14.74,0
10/24/2022,0:30:29,10/24/2022 0:30,0.39,0.457,2.77,108.4,10.76,6489.7,8.2,14.712,0
10/24/2022,0:35:29,10/24/2022 0:35,0.21,0.458,2.77,108.9,10.81,6486.3,8.21,14.713,0
10/24/2022,0:40:29,10/24/2022 0:40,0.25,0.458,2.72,109.6,10.88,6485.2,8.23,14.704,0
10/24/2022,0:45:29,10/24/2022 0:45,0.25,0.458,2.74,108.9,10.81,6486.8,8.23,14.708,0
10/24/2022,0:50:29,10/24/2022 0:50,0.19,0.457,2.75,109.1,10.83,6486.7,8.22,14.708,0
10/24/2022,0:55:29,10/24/2022 0:55,0.22,0.456,2.78,107.5,10.68,6493.6,8.18,14.691,0
10/24/2022,1:00:29,10/24/2022 1:00,0.32,0.457,2.8,107.1,10.64,6494.3,8.19,14.674,0
10/24/2022,1:05:29,10/24/2022 1:05,0.23,0.457,2.83,105.5,10.48,6499.9,8.15,14.691,0
10/24/2022,1:10:29,10/24/2022 1:10,0.28,0.457,2.83,105.4,10.47,6502.5,8.15,14.683,0
10/24/2022,1:15:29,10/24/2022 1:15,0.3,0.459,2.79,103.5,10.29,6506.3,8.13,14.624,0
10/24/2022,1:20:29,10/24/2022 1:20,0.28,0.459,2.81,104.4,10.38,6502.1,8.14,14.645,0
10/24/2022,1:25:29,10/24/2022 1:25,0.2,0.459,2.89,103.7,10.31,6503.9,8.12,14.623,0
10/24/2022,1:30:29,10/24/2022 1:30,0.25,0.459,2.85,105.8,10.52,6492.4,8.15,14.614,0
10/24/2022,1:35:29,10/24/2022 1:35,0.29,0.459,2.84,106.8,10.63,6488.2,8.18,14.601,0
10/24/2022,1:40:29,10/24/2022 1:40,0.25,0.46,2.84,107.7,10.72,6488.4,8.19,14.594,0
10/24/2022,1:45:29,10/24/2022 1:45,0.32,0.461,2.83,107.1,10.65,6486.1,8.21,14.626,0
10/24/2022,1:50:29,10/24/2022 1:50,0.26,0.46,2.84,107.9,10.73,6491.5,8.19,14.624,0
10/24/2022,1:55:29,10/24/2022 1:55,0.33,0.461,2.87,105.5,10.5,6491.3,8.14,14.604,0
10/24/2022,2:00:29,10/24/2022 2:00,0.37,0.461,2.89,105.8,10.53,6489,8.16,14.6,0
10/24/2022,2:05:29,10/24/2022 2:05,0.48,0.462,2.94,105.2,10.47,6497.6,8.13,14.578,0
10/24/2022,2:10:29,10/24/2022 2:10,0.36,0.462,2.86,105.9,10.54,6489.7,8.17,14.587,0
10/24/2022,2:15:29,10/24/2022 2:15,0.37,0.462,2.88,106.2,10.57,6492.2,8.16,14.572,0
10/24/2022,2:20:29,10/24/2022 2:20,0.46,0.461,2.86,106.2,10.58,6487.6,8.17,14.541,0
10/24/2022,2:25:29,10/24/2022 2:25,0.28,0.461,2.84,108.5,10.81,6482.8,8.2,14.561,0
10/24/2022,2:30:29,10/24/2022 2:30,0.34,0.46,2.89,108.4,10.8,6475.9,8.16,14.55,0
10/24/2022,2:35:29,10/24/2022 2:35,0.39,0.46,2.86,110.6,11.02,6471.1,8.22,14.557,0
10/24/2022,2:40:29,10/24/2022 2:40,0.47,0.461,2.86,109.5,10.92,6474.9,8.19,14.531,0
10/24/2022,2:45:29,10/24/2022 2:45,0.39,0.46,2.83,109.9,10.95,6482.4,8.23,14.537,0
10/24/2022,2:50:29,10/24/2022 2:50,0.27,0.46,2.92,106.1,10.57,6494.8,8.14,14.519,0
10/24/2022,2:55:29,10/24/2022 2:55,0.46,0.46,2.87,106.4,10.61,6486.5,8.17,14.516,0
10/24/2022,3:00:29,10/24/2022 3:00,0.48,0.46,2.88,106.4,10.61,6485.1,8.16,14.495,0
10/24/2022,3:05:29,10/24/2022 3:05,0.51,0.461,2.83,106.7,10.64,6485.1,8.17,14.499,0
10/24/2022,3:10:29,10/24/2022 3:10,0.37,0.46,2.84,108,10.77,6479.5,8.21,14.509,0
10/24/2022,3:15:29,10/24/2022 3:15,0.5,0.46,2.84,107.6,10.73,6487.7,8.18,14.48,0
10/24/2022,3:20:29,10/24/2022 3:20,0.46,0.46,2.85,107.2,10.7,6489.8,8.18,14.464,0
10/24/2022,3:25:29,10/24/2022 3:25,0.43,0.461,2.89,107.7,10.75,6489.6,8.18,14.466,0
10/24/2022,3:30:29,10/24/2022 3:30,0.46,0.461,2.84,107.7,10.75,6485,8.17,14.455,0
10/24/2022,3:35:29,10/24/2022 3:35,0.42,0.46,2.85,108.4,10.83,6481.6,8.2,14.446,0
10/24/2022,3:40:29,10/24/2022 3:40,0.42,0.46,2.84,108.6,10.85,6482.5,8.21,14.435,0
10/24/2022,3:45:29,10/24/2022 3:45,0.41,0.459,2.81,108.2,10.8,6481.4,8.2,14.429,0
10/24/2022,3:50:29,10/24/2022 3:50,0.44,0.459,2.84,108.3,10.82,6481.7,8.2,14.433,0
10/24/2022,3:55:29,10/24/2022 3:55,0.51,0.459,2.86,108,10.79,6486.2,8.18,14.414,0
10/24/2022,4:00:29,10/24/2022 4:00,0.51,0.459,2.85,106.4,10.63,6486.6,8.15,14.411,0
10/24/2022,4:05:29,10/24/2022 4:05,0.29,0.459,2.86,107.2,10.72,6488.1,8.17,14.396,0
10/24/2022,4:10:29,10/24/2022 4:10,0.44,0.459,2.86,107.1,10.71,6485.5,8.16,14.373,0
10/24/2022,4:15:29,10/24/2022 4:15,0.32,0.46,2.88,106.7,10.67,6483.2,8.18,14.383,0
10/24/2022,4:20:29,10/24/2022 4:20,0.33,0.459,2.9,107.4,10.74,6484.9,8.18,14.376,0
10/24/2022,4:25:29,10/24/2022 4:25,0.4,0.459,2.92,105.6,10.57,6487,8.15,14.354,0
10/24/2022,4:30:29,10/24/2022 4:30,0.36,0.459,2.94,105.2,10.53,6487.7,8.15,14.353,0
10/24/2022,4:35:29,10/24/2022 4:35,0.28,0.459,2.96,105.8,10.59,6485.4,8.15,14.346,0
10/24/2022,4:40:29,10/24/2022 4:40,0.36,0.46,2.95,105.5,10.56,6484.4,8.15,14.332,0
10/24/2022,4:45:29,10/24/2022 4:45,0.28,0.46,2.93,106.8,10.69,6485.1,8.16,14.343,0
10/24/2022,4:50:29,10/24/2022 4:50,0.36,0.461,2.92,106.2,10.63,6484,8.14,14.341,0
10/24/2022,4:55:29,10/24/2022 4:55,0.32,0.463,2.92,106.8,10.69,6483.6,8.16,14.32,0
10/24/2022,5:00:29,10/24/2022 5:00,0.46,0.463,2.91,107.2,10.73,6484.8,8.17,14.316,0
10/24/2022,5:05:29,10/24/2022 5:05,0.25,0.464,2.91,106.6,10.67,6489.6,8.15,14.316,0
10/24/2022,5:10:29,10/24/2022 5:10,0.4,0.465,2.95,104.1,10.41,6488.5,8.14,14.345,0
10/24/2022,5:15:29,10/24/2022 5:15,0.28,0.465,2.94,104.5,10.46,6490.4,8.11,14.332,0
10/24/2022,5:20:29,10/24/2022 5:20,0.3,0.466,2.93,105.3,10.54,6490.2,8.13,14.326,0
10/24/2022,5:25:29,10/24/2022 5:25,0.33,0.466,2.92,105.6,10.58,6488.2,8.14,14.308,0
10/24/2022,5:30:29,10/24/2022 5:30,0.27,0.466,2.94,105.8,10.59,6489,8.14,14.308,3.16E-05
10/24/2022,5:35:29,10/24/2022 5:35,0.38,0.466,2.97,105.1,10.53,6493,8.1,14.31,0.013249
10/24/2022,5:40:29,10/24/2022 5:40,0.44,0.466,2.93,105.5,10.56,6491.7,8.13,14.324,0.057978
10/24/2022,5:45:29,10/24/2022 5:45,0.35,0.465,2.95,105.2,10.53,6491.2,8.13,14.318,0.21009
10/24/2022,5:50:29,10/24/2022 5:50,0.28,0.465,2.98,103.8,10.4,6494.3,8.09,14.3,0.60083
10/24/2022,5:55:29,10/24/2022 5:55,0.51,0.466,2.95,104.6,10.48,6495.6,8.12,14.317,1.4034
10/24/2022,6:00:29,10/24/2022 6:00,0.32,0.466,3.01,103.5,10.38,6500.8,8.09,14.283,3.3589
10/24/2022,6:05:29,10/24/2022 6:05,0.25,0.465,2.97,105.1,10.53,6492,8.12,14.277,4.8371
10/24/2022,6:10:29,10/24/2022 6:10,0.26,0.465,2.97,105.4,10.57,6489.5,8.13,14.283,9.6514
10/24/2022,6:15:29,10/24/2022 6:15,0.35,0.464,2.94,106.3,10.65,6486.9,8.13,14.261,13.506
10/24/2022,6:20:29,10/24/2022 6:20,0.23,0.463,2.94,106.3,10.66,6486.2,8.14,14.24,18.466
